state,persons,year
AK,1163,2019
AL,38653,2019
AR,26534,2019
AZ,41394,2019
CA,196877,2019
CO,32301,2019
CT,48666,2019
DC,23663,2019
DE,10376,2019
FL,92426,2019
GA,84160,2019
HI,6502,2019
IA,40092,2019
ID,7314,2019
IL,86189,2019
IN,71352,2019
KS,26060,2019
KY,42796,2019
LA,23535,2019
MA,136601,2019
MD,45697,2019
ME,14414,2019
MI,59983,2019
MN,37499,2019
MO,50018,2019
MS,23913,2019
MT,8461,2019
NC,103431,2019
ND,8524,2019
NE,20839,2019
NH,20965,2019
NJ,50004,2019
NM,7531,2019
NV,3633,2019
NY,202541,2019
OH,114140,2019
OK,27604,2019
OR,24178,2019
PA,156186,2019
RI,22132,2019
SC,41905,2019
SD,12125,2019
TN,49798,2019
TX,131546,2019
UT,15229,2019
VA,86446,2019
VT,17607,2019
WA,34672,2019
WI,51893,2019
WV,14842,2019
WY,3633,2019
