filing_status,soi_returns,asec_returns,diff_M,ratio
joint_and_qss,54248325,63700007.99,9.45168299,1.17422995069433
married_separate,3912940,0,-3.91294,0
head_of_household,21240317,16213536.2,-5.0267808,0.763337769393931
single,81422759,102713055.57,21.29029657,1.26147844695363
total,160824341,182626599.76,21.80225876,1.13556566515015
