state,irs_married_adults,irs_single_adults,irs_children,acs_married_adults,acs_single_adults,acs_children,nonfiler_married_adults,irs_share_married_adults,nonfiler_single_adults,irs_share_single_adults,nonfiler_children,irs_share_children
AK,256800,226510,174920,285865,263117,176386,29065,0.898326132964861,36607,0.86087177947453,1466,0.991688682775277
AL,1580020,1430640,1225870,1964034,1866775,1091854,384014,0.804476908240896,436135,0.76636980889502,-134016,1.12274168524363
AR,1020010,825430,756270,1227406,1096155,697297,207396,0.831029015663929,270725,0.753023066993263,-58973,1.0845737182291
AZ,2377650,2233720,1788790,2889564,2901780,1647824,511914,0.822840400835559,668060,0.769775792789254,-140966,1.0855467574207
CA,13015120,12874740,10173570,15132381,15404472,8736796,2117261,0.860084080621549,2529732,0.83577937627463,-1436774,1.16445090396983
CO,2137210,1833670,1277520,2383501,2177950,1240269,246291,0.896668388223877,344280,0.841924745747148,-37251,1.03003461345885
CT,1271370,1199880,779970,1407301,1436172,718421,135931,0.90341014466699,236292,0.835470960302805,-61549,1.08567260700898
DC,126940,284220,128720,176129,408663,123744,49189,0.720721743721931,124443,0.69548747990398,-4976,1.04021205068529
DE,353870,326160,230420,377595,403012,205695,23725,0.937168129874601,76852,0.809305926374401,-24725,1.12020224118233
FL,7306370,7430140,4972270,8852629,8683012,4242015,1546259,0.825333355774878,1252872,0.855709977136966,-730255,1.17214814186183
GA,3325710,3336880,2851740,4073333,4155699,2506322,747623,0.816459150283073,818819,0.802964796054767,-345418,1.13781868411162
HI,507350,444290,318520,579133,534882,294211,71783,0.876050924399059,90592,0.830631802902322,-24309,1.08262437502337
IA,1232320,920380,743210,1321402,1120656,725099,89082,0.932585239011292,200276,0.821286817721049,-18111,1.02497727896467
ID,761130,482450,486580,827021,560621,457989,65891,0.920327295195648,78171,0.860563553630706,-28591,1.0624272635369
IL,4313200,4076240,3037770,4903011,4895393,2760779,589811,0.879704328625818,819153,0.832668592695214,-276991,1.10033073998317
IN,2462590,2068430,1646430,2700583,2497704,1557160,237993,0.911873473246332,429274,0.828132556940294,-89270,1.05732872665622
KS,1113540,832130,717850,1221399,1007380,688321,107859,0.911692247987758,175250,0.826033870039111,-29529,1.04290004227679
KY,1567570,1267240,1050580,1800017,1671040,1005970,232447,0.87086399739558,403800,0.758354078896974,-44610,1.04434525880493
LA,1268750,1430270,1190150,1648351,1910550,1077647,379601,0.769708636085397,480280,0.748616890424223,-112503,1.10439689434481
MA,2446560,2378990,1400250,2709527,2847850,1335972,262967,0.902947267179844,468860,0.835363519848307,-64278,1.04811328381134
MD,2038150,2061390,1519250,2341184,2366808,1331176,303034,0.870563783111451,305418,0.870957847024347,-188074,1.14128409767003
ME,539440,436860,257560,571295,520470,241515,31855,0.944240716267428,83610,0.839356735258516,-16045,1.06643479701054
MI,3601060,3181300,2187400,3947623,3935181,2122684,346563,0.91220970188896,753881,0.808425330372351,-64716,1.03048781636833
MN,2191530,1769870,1310360,2379139,1958964,1299312,187609,0.921144161816523,189094,0.90347244768153,-11048,1.00850296156735
MO,2227610,1858860,1448300,2478622,2301984,1379966,251012,0.898729213248329,443124,0.807503440510447,-68334,1.04951861132811
MS,820580,903210,792880,1067916,1197374,683818,247336,0.768393768798295,294164,0.754325716108751,-109062,1.15948980576703
MT,429420,331410,228670,451235,391317,228081,21815,0.951654902656044,59907,0.846909283266508,-589,1.00258241589611
NC,3668510,3178480,2558860,4281025,4050626,2303163,612515,0.856923283559428,872146,0.784688588874905,-255697,1.11101993215417
ND,290560,224850,177120,307396,268181,186602,16836,0.945230256737238,43331,0.838426286724265,9482,0.949185967996056
NE,747960,565570,490280,789479,656288,464462,41519,0.94740962077522,90718,0.861771051733385,-25818,1.05558689408391
NH,574020,448260,260500,607003,509990,252833,32983,0.94566254203027,61730,0.878958410949234,-7667,1.03032436430371
NJ,3262560,3011870,2227660,3563384,3383836,1919149,300824,0.915579123664472,371966,0.890075641963736,-308511,1.16075406338955
NM,631450,672480,506250,772592,871793,459562,141142,0.817313666204154,199313,0.77137577383622,-46688,1.10159238579343
NV,988070,1088230,776740,1186722,1267209,705931,198652,0.832604434737032,178979,0.858761261954421,-70809,1.10030583725605
NY,6084820,6980990,4487760,7187307,8172097,3982873,1102487,0.84660638539581,1191107,0.854247080033436,-504887,1.12676452400064
OH,4112020,3649940,2668170,4557106,4580828,2558655,445086,0.902331435784026,930888,0.79678608321465,-109515,1.04280178453133
OK,1375570,1070650,1012100,1601376,1448374,954540,225806,0.858992516435865,377724,0.73920824317476,-57560,1.06030129695979
OR,1540550,1292450,894280,1731658,1648462,855271,191108,0.889638716189917,356012,0.784033844880865,-39009,1.04561010486735
PA,4660100,4139890,2745890,5121072,5051657,2635289,460972,0.909985253087635,911767,0.819511300945413,-110601,1.04196921096699
RI,354170,390850,213410,405521,452633,206100,51351,0.87337030634665,61783,0.863503102955374,-7310,1.03546821931101
SC,1783100,1587120,1248420,2103572,1986612,1124960,320472,0.84765341999228,399492,0.798907889411722,-123460,1.10974612430664
SD,354650,261520,212520,364876,312906,226617,10226,0.971974040495949,51386,0.835778157018402,14097,0.937793722448007
TN,2445420,2084210,1671660,2791137,2606203,1512023,345717,0.876137574042406,521993,0.7997113041463,-159637,1.10557842043408
TX,9711080,8806680,8253100,11499531,10435739,7419139,1788451,0.844476179071999,1629059,0.843896153401307,-833961,1.11240670918822
UT,1294020,835180,963800,1377939,951130,935859,83919,0.939098174882923,115950,0.878092374333687,-27941,1.02985599326394
VA,3160440,2603250,2054040,3515256,3204903,1845042,354816,0.899063965753846,601653,0.812271073414702,-208998,1.1132754701519
VT,251290,215460,117490,251583,254123,118612,293,0.998835374409241,38663,0.847857140046355,1122,0.990540586112704
WA,2932870,2347600,1781690,3196464,2838782,1662147,263594,0.917535752005967,491182,0.826974385493497,-119543,1.07192083492014
WI,2274200,1844330,1270410,2398184,2186191,1253811,123984,0.948300880999957,341861,0.843627112178213,-16599,1.01323883743244
WV,644630,484760,381520,728682,704715,357165,84052,0.884652015556855,219955,0.687880916398828,-24355,1.06818977223412
WY,235230,166110,136370,251604,191350,131413,16374,0.934921543377689,25240,0.868095113666057,-4957,1.03772077343946
