soi_variable,variable,asec_amount,asec_positive_M,soi_amount,asec_over_soi,asec_over_ssa_wages
agi_amt,ADJGINC,8687791308632.94,139.3017123,9647559918000,0.90051695791219,
,TAXINC,5830802545860.85,112.33686479,,,
,INCTOT,9540526984582.57,222.65216664,,,
wages_amt,INCWAGE,7164884851696.18,151.15654356,6674220794000,1.07351630592402,
int_amt,INCINT,265184542694.79,123.45064074,91544269000,2.89679021517764,
div_amt,INCDIVID,102798638928.8,30.30589477,246882641000,0.416386662555185,
,INCRENT,89388586548.2,10.90725791,,,
,INCBUS,342286667452.99,10.98268628,,,
,INCFARM,31120154415.26,1.81076972,,,
,INCSS,711587209561.43,49.74357498,,,
,INCRETIR,483816686251.26,21.44904864,,,
eitc_amt,EITCRED,45501081187.39,21.22799973,67667524000,0.672421251698082,
,FEDTAX,1230218580875.81,106.51463111,,,
