filing_status,soi_returns,asec_returns,diff_M,ratio
joint_and_qss,54133694,58545501.56,4.41180756,1.0814983651402
married_separate,3068134,0,-3.068134,0
head_of_household,21659639,11736031.36,-9.92360764,0.541838733323302
single,71410690,73440297.66,2.02960766,1.02842162230893
total,150272157,143721830.58,-6.55032642,0.956410245578627
