tax_year,population_M,adults_18p_M,filing_adults_M,nonfiling_adults_M,returns_M,dependents_M,adult_dependents_M,gq_M
2014,316.16794859,242.24803685,193.44881457,48.79922228,138.337913515,80.04615047,6.37476077,0.18032161
2015,318.86849005,244.80653501,199.08285386,45.72368115,142.58799471,87.14531304,13.36278512,0.28893603
2016,320.37199701,246.32498592,200.73953804,45.58544788,143.72183058,87.46558269,13.65012248,0.34607036
2017,323.15608286,249.19309317,203.77848184,45.41461133,146.28573275,86.95130249,13.21322189,0.13172924
2018,324.35584127,250.56305097,206.32404213,44.23900884,147.97250446,86.25813715,13.162255,0.15142114
2019,327.6011045711,253.0083529397,210.0840624736,42.9242904661,151.2798805465,87.6842936898,13.8025867288,0.2082359812
2020,328.0594800567,254.0287824553,242.3379367972,11.6908456581,181.1116067751,86.8429884456,13.5342479186,0.1303919938
2021,328.72188139,255.25496041,243.7805167,11.47444371,182.62659976,86.14118012,13.31867752,0.1582814
2022,330.63170209,258.1313518,214.16887561,43.96247619,156.37337873,85.60254011,13.79662729,0.27052107
2023,332.38248508,259.61314032,216.11134094,43.50179938,157.79775088,85.71286426,13.70543432,0.23658117
2024,337.68964157,264.71173638,218.47430145,46.23743493,159.76466004,86.88180536,14.73203534,0.19770855
