state,pep_adults_18p,fa_ht2,residual_A,residual_implemented,tolerance_pct,share_ht2,fa_B1,fa_B2,residual_B1,residual_B2,diff_B1_pct,diff_B2_pct,B1_within_tol,B2_within_tol,year
IA,2420468,2062880,357588,375335.262632028,4.22128003757189,0.0100075689371441,2056424.60764953,2045132.73736797,364043.392350474,375335.262632028,1.80525978233999,4.96304759444624,TRUE,FALSE,2017
ID,1283015,1111400,171615,181176.539056676,4.667285685943,0.00539169128438974,1107922.08414531,1101838.46094332,175092.915854687,181176.539056676,2.02658034244494,5.57150543756444,TRUE,FALSE,2017
IL,10008120,8277020,1731100,1802308.43081059,3.59042166574796,0.0401539828996937,8251118.63317657,8205811.56918941,1757001.36682343,1802308.43081059,1.49623746885974,4.1134787597823,TRUE,FALSE,2017
IN,5093908,4322540,771368,808555.452792915,4.11643802702884,0.0209697689800486,4309013.42954965,4285352.54720709,784894.57045035,808555.452792915,1.75358200629916,4.82097426817221,TRUE,FALSE,2017
KS,2207316,1877600,329716,345869.271308994,4.17415777627082,0.00910872733090712,1871724.40632647,1861446.72869101,335591.593673529,345869.271308994,1.78201654561172,4.89914693523925,TRUE,FALSE,2017
KY,3450919,2673060,777859,800855.731681518,2.71650345917565,0.0129677112692557,2664695.16487806,2650063.26831848,786223.835121945,800855.731681518,1.07536650240527,2.95641391068533,TRUE,FALSE,2017
LA,3568027,2614500,953527,976019.93131517,2.2592458791698,0.0126836214351601,2606318.41730963,2592007.06868483,961708.582690371,976019.93131517,0.858033667674985,2.35891918269433,TRUE,FALSE,2017
MA,5569193,4634970,934223,974098.334426419,3.70607686084535,0.022485448400583,4620465.73902376,4595094.66557358,948727.260976244,974098.334426419,1.55254805075917,4.26828866624123,TRUE,FALSE,2017
MD,4748830,3959740,789090,823156.230577904,3.74251886553926,0.0192097315516011,3947348.74345291,3925673.7694221,801481.256547092,823156.230577904,1.57032233928849,4.31715401005008,TRUE,FALSE,2017
ME,1089409,915450,173959,181834.752140934,3.89893034498803,0.0044410867251166,912585.272566877,907574.247859066,176823.727433123,181834.752140934,1.64678311160864,4.52736112585968,TRUE,FALSE,2017
MI,7845511,6522670,1322841,1378956.49753357,3.68649180462067,0.0316431734658543,6502258.53931268,6466554.50246643,1343252.46068732,1378956.49753357,1.54300181861029,4.24204401992159,TRUE,FALSE,2017
MN,4294563,3846690,447873,480966.644658922,5.97069743160058,0.0186612965149804,3834652.51202172,3813596.35534108,459910.487978285,480966.644658922,2.68770119616157,7.3890689233157,TRUE,FALSE,2017
MO,4724824,3881280,843544,876935.227559742,3.47429098598313,0.0188291016270256,3869134.26916639,3847888.77244026,855689.730833615,876935.227559742,1.43984556035188,3.95844526897726,TRUE,FALSE,2017
MS,2276826,1636050,640776,654851.180829292,2.1344433210695,0.007936905277871,1630930.2913136,1621974.81917071,645895.708686396,654851.180829292,0.798985712073441,2.19658364690498,TRUE,FALSE,2017
MT,825358,708790,116568,122665.825506552,4.41838845618883,0.00343852516237413,706571.975905485,702692.174493448,118786.024094515,122665.825506552,1.90277271164871,5.23113161978559,TRUE,FALSE,2017
NC,7885482,6278860,1606622,1660639.96393864,3.02484793866426,0.0304603875633466,6259211.49654188,6224842.03606136,1626270.50345812,1660639.96393864,1.22296989946133,3.36220741024569,TRUE,FALSE,2017
ND,588969,506070,82899,87252.795276599,4.43363900697463,0.00245507756729451,504486.349760139,501716.204723401,84482.6502398609,87252.795276599,1.91033696408989,5.2519273774098,TRUE,FALSE,2017
NE,1451128,1272330,178798,189744.043717816,5.06662159236949,0.00617240468946158,1268348.48418266,1261383.95628218,182779.515817342,189744.043717816,2.22682346410019,6.12201686697627,TRUE,FALSE,2017
NH,1096377,979500,116877,125303.783791627,5.84415963751333,0.00475180998115867,976434.840219844,971073.216208373,119942.159780156,125303.783791627,2.62255172545183,7.20995900958019,TRUE,FALSE,2017
NJ,7161517,6014230,1147287,1199028.31279542,3.88594782654986,0.0291765984103971,5995409.60601878,5962488.68720458,1166107.39398122,1199028.31279542,1.64042597721623,4.50988399549746,TRUE,FALSE,2017
NM,1608707,1233920,374787,385402.596790367,2.62192420493217,0.0059860677610529,1230058.68100467,1223304.40320963,378648.318995335,385402.596790367,1.03027025892972,2.83243463363645,TRUE,FALSE,2017
NV,2276830,1874290,402540,418664.794888013,3.50976713231044,0.00909266965756599,1868424.76434472,1858165.20511199,408405.235655283,418664.794888013,1.45705660438282,4.00576213246213,TRUE,FALSE,2017
NY,15990731,12674930,3315801,3424845.30289332,2.96908010240618,0.0614893914083589,12635266.2065826,12565885.6971067,3355464.79341735,3424845.30289332,1.19620548450745,3.2886262744152,TRUE,FALSE,2017
OH,9114358,7508500,1605858,1670454.73925414,3.52236100087659,0.036425691928055,7485003.57099612,7443903.26074586,1629354.42900388,1670454.73925414,1.46316978237704,4.02256857419163,TRUE,FALSE,2017
OK,2964897,2290660,674237,693943.887759192,2.69090994063393,0.0111125891285767,2283491.81327002,2270953.11224081,681405.186729978,693943.887759192,1.06315534893189,2.92284282221116,TRUE,FALSE,2017
OR,3270859,2686690,584169,607282.992593289,3.47300473865781,0.0130338339543432,2678282.51237392,2663576.00740671,592576.487626083,607282.992593289,1.43922180500553,3.95673043131164,TRUE,FALSE,2017
PA,10262004,8513090,1748914,1822153.37603743,3.64591378905325,0.0412992200433916,8486449.89681179,8439850.62396257,1775554.10318821,1822153.37603743,1.52323688804659,4.18770597281684,TRUE,FALSE,2017
RI,872731,706920,165811,171892.73761917,3.25581098391222,0.00342945330462551,704707.827716398,700838.26238083,168023.172283602,171892.73761917,1.33415291120738,3.66787343371067,TRUE,FALSE,2017
SC,3868196,3044940,823256,849452.070483387,2.88815890725994,0.0147717981460228,3035411.43683411,3018743.92951661,832784.56316589,849452.070483387,1.15742407779476,3.18200784244349,TRUE,FALSE,2017
SD,654631,589040,65591,70658.5984937417,6.20765801985602,0.00285758667820491,587196.710855637,583972.401506258,67434.2891443628,70658.5984937417,2.81027754472838,7.72605768130035,TRUE,FALSE,2017
TN,5222454,4170600,1051854,1087734.29043528,3.06190400179013,0.0202326684098217,4157548.89700958,4134719.70956472,1064905.10299042,1087734.29043528,1.24077134188054,3.41114740594071,TRUE,FALSE,2017
TX,20933570,17132400,3801170,3948562.57849073,3.41357934820346,0.0831137410119478,17078787.3982465,16985007.4215093,3854782.6017535,3948562.57849073,1.41042367885413,3.87755818578843,TRUE,FALSE,2017
UT,2185310,1925010,260300,276861.146571434,5.23969706627355,0.00933872560676902,1918986.04570863,1908448.85342857,266323.954291372,276861.146571434,2.31423522526772,6.36233060754297,TRUE,FALSE,2017
VA,6616004,5467520,1148484,1195521.88557059,3.57708240985764,0.0265243656030471,5450410.43144339,5420482.11442941,1165593.56855661,1195521.88557059,1.4897524525036,4.09565005438421,TRUE,FALSE,2017
VT,518281,449640,68641,72509.3196161993,4.713970748462,0.00218132091876282,448232.936760031,445771.680383801,70048.0632399689,72509.3196161993,2.04988744331944,5.63558167305152,TRUE,FALSE,2017
WA,5784443,4978130,806313,849140.59080818,4.47732009600707,0.0241502070663659,4962551.88478163,4935302.40919182,821891.115218367,849140.59080818,1.93201836239358,5.3115342067138,TRUE,FALSE,2017
WI,4537923,3984800,553123,587404.825475115,5.12133063140803,0.0193313041479541,3972330.32292806,3950518.17452488,565592.677071942,587404.825475115,2.25441304591232,6.19786656405814,TRUE,FALSE,2017
WV,1450586,1084750,365836,375168.265153617,2.40658311845832,0.00526240518331993,1081355.48027409,1075417.73484638,369230.519725906,375168.265153617,0.927880177430795,2.55094226746866,TRUE,FALSE,2017
WY,438255,384890,53365,56676.2657616737,5.12642810170196,0.00186720178014105,383685.559624518,381578.734238326,54569.4403754818,56676.2657616737,2.25698561881718,6.20493912053535,TRUE,FALSE,2017
