state,pep_adults_18p,fa_ht2,residual_A,residual_implemented,tolerance_pct,share_ht2,fa_B1,fa_B2,residual_B1,residual_B2,diff_B1_pct,diff_B2_pct,B1_within_tol,B2_within_tol,year
AK,556127,474880,81247,85332.4630801101,4.26945266321872,0.00230376674206496,473393.952959264,470794.53691989,82733.0470407357,85332.4630801101,1.82904850731194,5.02844791821255,TRUE,FALSE,2017
AL,3842153,2818040,1024113,1048357.01612676,2.265697392797,0.0136710470641188,2809221.47742024,2793795.98387325,1032931.52257976,1048357.01612676,0.861088823182299,2.36731846258715,TRUE,FALSE,2017
AR,2285453,1721200,564253,579060.738909799,2.46278517316808,0.00834999013738674,1715813.83051189,1706392.2610902,569639.169488111,579060.738909799,0.954566389210387,2.62430840594545,TRUE,FALSE,2017
AZ,5260034,4129080,1130954,1166477.08771652,2.85698737134911,0.0200312440602375,4116158.8259877,4093556.91228348,1143875.1740123,1166477.08771652,1.14250217182132,3.14098431205163,TRUE,FALSE,2017
CA,30451306,24440140,6011166,6221428.14968565,3.12748886690906,0.118565493816146,24363659.2096484,24229877.8503144,6087646.7903516,6221428.14968565,1.27231206643768,3.49785964462885,TRUE,FALSE,2017
CO,4326404,3737170,589234,621385.427853553,4.58334330978804,0.018129986429083,3725475.23412393,3705018.57214645,600928.765876066,621385.427853553,1.98474050649928,5.45647872552375,TRUE,FALSE,2017
CT,2852640,2386600,466040,486572.273810207,3.8084663515952,0.0115780190924281,2379131.58720641,2366067.72618979,473508.41279359,486572.273810207,1.60252613372023,4.40568917050177,TRUE,FALSE,2017
DC,566492,406790,159702,163201.674710154,2.130438019872,0.00197344439227722,405517.027721317,403290.325289846,160974.972278683,163201.674710154,0.797092258508236,2.19137813562393,TRUE,FALSE,2017
DE,756172,626830,129342,134734.711469225,3.63219217811922,0.00304091582490014,624868.454206232,621437.288530775,131303.545793768,134734.711469225,1.51655749390582,4.16934288106312,TRUE,FALSE,2017
FL,16698095,13556900,3141195,3257827.02162809,3.28979798757665,0.0657680579209495,13514476.24847,13440267.9783719,3183618.75152997,3257827.02162809,1.35056090213972,3.71298253142793,TRUE,FALSE,2017
GA,7922370,6095800,1826570,1879013.0716049,2.65145615169797,0.0295723157561481,6076724.34814918,6043356.9283951,1845645.65185082,1879013.0716049,1.04434277639611,2.87112301225252,TRUE,FALSE,2017
HI,1150930,942200,208730,216835.886358827,3.41799041787494,0.00457085795226922,939251.563507031,934094.113641173,211678.436492969,216835.886358827,1.41256000238066,3.88343139885354,TRUE,FALSE,2017
