state,irs_married_adults,irs_single_adults,irs_children,acs_married_adults,acs_single_adults,acs_children,nonfiler_married_adults,irs_share_married_adults,nonfiler_single_adults,irs_share_single_adults,nonfiler_children,irs_share_children
AK,260020,214660,174100,293357,259998,184083,33337,0.886360305020845,45338,0.825621735551812,9983,0.945769028101454
AL,1557000,1261740,1261190,1888557,1912261,1087053,331557,0.824438976424858,650521,0.659815788744319,-174137,1.16019182137393
AR,1000360,723610,771000,1180286,1129178,704361,179926,0.847557286962651,405568,0.640828992417493,-66639,1.0946091563843
AZ,2291150,1926360,1848570,2752753,2781800,1637093,461603,0.832312234334138,855440,0.692486878999209,-211477,1.12917836677574
CA,12944120,11562010,10904240,14914765,15660531,8981749,1970645,0.867872876307471,4098521,0.738289780850981,-1922491,1.21404416890296
CO,2120780,1677490,1324680,2318668,2110869,1266027,197888,0.914654448157304,433379,0.794691664901991,-58653,1.0463283958399
CT,1273680,1113720,796010,1400802,1437075,734788,127122,0.909250557894692,323355,0.774990866864986,-61222,1.08331927032015
DC,130370,279400,131690,163843,410835,127777,33473,0.795700762315143,131435,0.680078376963988,-3913,1.03062366466578
DE,339890,294160,230690,376859,386993,203319,36969,0.901902302983344,92833,0.760117108061386,-27371,1.13462096508442
FL,6981320,6616410,4972730,8155787,8919063,4224475,1174467,0.855995871397819,2302653,0.741827925197972,-748255,1.17712378461229
GA,3228300,2909950,2907390,3896836,4119559,2503080,668536,0.828441330351085,1209609,0.706374153155714,-404310,1.16152500119852
HI,515720,428410,331340,581003,537099,302389,65283,0.887637413231946,108689,0.797636934717808,-28951,1.09574091650159
IA,1229860,832830,745880,1310920,1114120,731105,81060,0.93816556311598,281290,0.747522708505368,-14775,1.02020913548669
ID,718050,419930,477790,746702,563450,444056,28652,0.961628601503679,143520,0.745283521164256,-33734,1.07596789594105
IL,4381880,3870310,3252090,4952222,4935522,2853336,570342,0.884831091982548,1065212,0.784174399384706,-398754,1.13975010303729
IN,2437650,1899470,1667370,2643340,2483346,1565192,205690,0.92218556825834,583876,0.764883346903734,-102178,1.06528144789904
KS,1111080,766400,725840,1213682,994688,703140,102602,0.915462205091614,228288,0.770492858062026,-22700,1.03228375572432
KY,1543940,1128410,1056320,1788799,1672563,1007040,244859,0.86311541989905,544153,0.674659190715088,-49280,1.04893549412139
LA,1309730,1292410,1270270,1638379,1924939,1096660,328649,0.799405998245827,632529,0.671403093812323,-173610,1.15830795323984
MA,2436290,2235350,1422420,2669361,2867086,1365750,233071,0.912686594282302,631736,0.779659207990273,-56670,1.04149368478858
MD,2047820,1932190,1562050,2341761,2364051,1336906,293941,0.874478650895629,431861,0.817321622926071,-225144,1.16840675410238
ME,524290,397920,254530,563834,527543,247027,39544,0.929865882511519,129623,0.754289223816826,-7503,1.03037319807147
MI,3600310,2944380,2282270,3916376,3918276,2161263,316066,0.919296308628181,973896,0.751447830627552,-121007,1.05598902123434
MN,2198060,1676020,1332940,2336612,1977213,1297354,138552,0.940703890932684,301193,0.847667904267269,-35586,1.02742967609457
MO,2191960,1684400,1437520,2475924,2276796,1373732,283964,0.885309888348754,592396,0.739811559753267,-63788,1.04643409340395
MS,820980,804770,839790,1064908,1216547,705075,243928,0.770939837056347,411777,0.66151985907655,-134715,1.19106478034252
MT,416580,298450,224420,443921,392796,225588,27341,0.938410212627923,94346,0.7598091630261,1168,0.99482241963225
NC,3559640,2805000,2585040,4099464,3986361,2297795,539824,0.868318394795027,1181361,0.703649268091876,-287245,1.12500897599655
ND,292130,214880,175340,316515,270897,172665,24385,0.922957837701215,56017,0.793216610003064,-2675,1.01549242753308
NE,748350,527850,495850,803210,652463,473595,54860,0.931699057531654,124613,0.809011392216877,-22255,1.04699162786769
NH,562100,423360,260380,583273,515989,257148,21173,0.963699674080576,92629,0.820482607187363,-3232,1.01256863751614
NJ,3257310,2787240,2282770,3623388,3335343,1949789,366078,0.898968037648742,548103,0.835668175656896,-332981,1.17077796623122
NM,633100,606700,531770,755102,861713,478613,122002,0.838429775050258,255013,0.704062721578994,-53157,1.11106468065013
NV,954330,959470,815290,1113457,1232442,688493,159127,0.857087431306283,272972,0.778511280855407,-126797,1.1841659973304
NY,6179000,6540690,4700950,7296389,8185155,4060665,1117389,0.846857260488716,1644465,0.799091770406303,-640285,1.15767983815459
OH,4118280,3393480,2702940,4466560,4634930,2587952,348280,0.922025003582175,1241450,0.732153452155696,-114988,1.04443204510748
OK,1355980,943610,1010570,1547352,1440206,955521,191372,0.876322905195457,496596,0.655190993510651,-55049,1.05761150199734
OR,1538000,1178570,930060,1739375,1580042,871296,201375,0.884225655767158,401472,0.745910551744827,-58764,1.06744435874835
PA,4671840,3859100,2799060,5105707,5060370,2640983,433867,0.91502312999943,1201270,0.762612220055055,-158077,1.05985536446088
RI,352370,359260,219140,374588,479174,203553,22218,0.940686834602283,119914,0.749748525587782,-15587,1.07657465131931
SC,1704620,1389570,1248720,1931795,2047707,1104625,227175,0.882402118237184,658137,0.678598061148397,-144095,1.13044698427068
SD,348140,243400,207730,356951,311104,214180,8811,0.975315939722819,67704,0.782375025714874,6450,0.96988514333738
TN,2351440,1844950,1672680,2680061,2580180,1509769,328621,0.877383014789589,735230,0.715047012223953,-162911,1.10790458672817
TX,9443600,7816850,8306580,10856430,10446244,7399171,1412830,0.869862376490246,2629394,0.748292879239658,-907409,1.1226365764489
UT,1243500,730320,977110,1328875,900982,931248,85375,0.935753927194055,170662,0.81058223138753,-45862,1.04924789100218
VA,3130060,2365680,2076920,3424769,3225655,1867261,294709,0.91394777282789,859975,0.733395232906185,-209659,1.11228157177813
VT,247360,201760,116180,255622,257265,113412,8262,0.967678838284655,55505,0.784249703613006,-2768,1.02440658836807
WA,2904270,2143840,1838280,3138372,2737652,1659567,234102,0.925406548363292,593812,0.783094418136418,-178713,1.10768652305089
WI,2264100,1728850,1288270,2400093,2142470,1271005,135993,0.943338445635232,413620,0.806942454270071,-17265,1.01358373885233
WV,643010,435740,387850,734305,707959,363568,91295,0.875671553373598,272219,0.615487620045794,-24282,1.06678805615456
WY,233130,154100,138050,246017,200073,131647,12887,0.947617441071145,45973,0.770218870112409,-6403,1.04863764461021
