state,pep_adults_18p,filing_adults,residual_nonfiling_adults,amp_pep,amp_filing,tolerance_pct,tolerance_adults,residual_net_dorm,amp_pep_net,amp_filing_net,tolerance_pct_net,tolerance_adults_net
US,252828706,206131980,46696726,5.41427049939219,4.41427049939218,3.49285374308719,1631048.34199017,44253809,5.71315129054767,4.65794887847959,3.68566769470661,1631048.34199017
AK,556127,474880,81247,6.84489273450097,5.84489273450097,4.50042574721121,3656.46090683669,79626,6.98423881646698,5.96388114434984,4.59204393896051,3656.46090683669
AL,3842153,2818040,1024113,3.75168853437072,2.75168853437072,2.32631450201365,23824.089236007,986499,3.89473582841949,2.85660705180644,2.41501402799263,23824.089236007
AR,2285453,1721200,564253,4.0504046943481,3.0504046943481,2.53528829658967,14305.4402721561,537604,4.251183026912,3.20161308323599,2.66096239465407,14305.4402721561
AZ,5260034,4129080,1130954,4.6509707733471,3.6509707733471,2.95639631656362,33435.4823980289,1095985,4.79936677965483,3.76746032108104,3.05072445316577,33435.4823980289
CA,30451306,24440140,6011166,5.06579023104669,4.06579023104669,3.24780236728787,195230.791649604,5830947,5.22236027869916,4.19145294923792,3.34818326507861,195230.791649604
CO,4326404,3737170,589234,7.34242083790141,6.34242083790141,4.85122267696235,28585.0534283723,554423,7.80343528316827,6.7406474839608,5.15582027231416,28585.0534283723
CT,2852640,2386600,466040,6.12101965496524,5.12101965496524,3.99035474372301,18596.6492476467,417225,6.83717418658997,5.72017496554617,4.45722314042705,18596.6492476467
DC,566492,406790,159702,3.54718162577801,2.54718162577801,2.1834967209134,3487.08793323312,135924,4.16771136811748,2.99277537447397,2.56546888940372,3487.08793323312
DE,756172,626830,129342,5.84629895934809,4.84629895934809,3.79690087852754,4910.98753430509,120029,6.29991085487674,5.22232127235918,4.09150083255304,4910.98753430509
FL,16698095,13556900,3141195,5.31584158258243,4.31584158258243,3.42361871040935,107542.539750443,3053924,5.46775067094008,4.43917399385184,3.52145435676995,107542.539750443
GA,7922370,6095800,1826570,4.33729339691334,3.33729339691334,2.73631326916297,49980.6772805501,1746770,4.53543969726982,3.48975537706739,2.86131988072558,49980.6772805501
HI,1150930,942200,208730,5.51396540985963,4.51396540985963,3.56299376446752,7437.03688457305,203314,5.66084972013733,4.63421112171321,3.65790692454678,7437.03688457305
IA,2420468,2062880,357588,6.76887367585042,5.76887367585042,4.44684029192473,15901.3672630878,317989,7.61179789237993,6.48726842752422,5.00060293377689,15901.3672630878
ID,1283015,1111400,171615,7.47612388194505,6.47612388194505,4.94551839629801,8487.25139580683,164670,7.79143134754357,6.74925608793344,5.15409691856855,8487.25139580683
IL,10008120,8277020,1731100,5.78136445034949,4.78136445034949,3.75118717590947,64936.8012021689,1646698,6.07769001966359,5.02643471966323,3.94345539996823,64936.8012021689
IN,5093908,4322540,771368,6.60373258937368,5.60373258937368,4.33044752436641,33403.6864597547,703891,7.23678524089667,6.14092238713096,4.74557658213483,33403.6864597547
KS,2207316,1877600,329716,6.6945977750549,5.6945977750549,4.39448754661537,14489.3285591983,304741,7.2432524668489,6.16129762650907,4.7546370718736,14489.3285591983
KY,3450919,2673060,777859,4.43643256682766,3.43643256682766,2.80584224014657,21825.4963907817,738334,4.67392670525805,3.62039402221759,2.95604650344989,21825.4963907817
LA,3568027,2614500,953527,3.74192550394483,2.74192550394483,2.3194914284308,22116.9770327734,930788,3.83334013760384,2.80891029966007,2.37615622813932,22116.9770327734
MA,5569193,4634970,934223,5.96131009405677,4.96131009405677,3.87788008733163,36228.0476882722,801438,6.94900042174192,5.78331698771458,4.52038057694696,36228.0476882722
MD,4748830,3959740,789090,6.01810946786805,5.01810946786805,3.91787774818045,30915.5815231171,741786,6.40188679753999,5.33811638397058,4.16772243249631,30915.5815231171
ME,1089409,915450,173959,6.2624468984071,5.2624468984071,4.08997519900559,7114.87995643813,158343,6.88005784909974,5.78143650177147,4.49333406367072,7114.87995643813
MI,7845511,6522670,1322841,5.93080423119634,4.93080423119634,3.85639952530726,51014.0340445698,1257756,6.23770508747325,5.18595816676685,4.05595632575553,51014.0340445698
MN,4294563,3846690,447873,9.58879637754453,8.58879637754453,6.4364671828755,28827.19866596,404021,10.6295539093265,9.52101499674522,7.13507433176988,28827.19866596
MO,4724824,3881280,843544,5.60115891998521,4.60115891998521,3.62434975733197,30572.9849169884,791224,5.97153776932955,4.90541237373993,3.86401131879068,30572.9849169884
MS,2276826,1636050,640776,3.55323233079891,2.55323233079891,2.18771886514649,14018.3774353311,611688,3.72220151449759,2.67464785969318,2.29175289286877,14018.3774353311
MT,825358,708790,116568,7.08048521034932,6.08048521034932,4.66651827402541,5439.66702166594,110312,7.48203277975198,6.42532090797012,4.93116526004962,5439.66702166594
NC,7885482,6278860,1606622,4.90811279815663,3.90811279815663,3.13699365964232,50399.6302744187,1515868,5.20195821799787,4.14208888900617,3.32480336509635,50399.6302744187
ND,588969,506070,82899,7.10465747475844,6.10465747475844,4.68356169805003,3882.62581206649,73970,7.96226848722455,6.84155738813032,5.24891957829728,3882.62581206649
NE,1451128,1272330,178798,8.11601919484558,7.11601919484558,5.39693192361439,9649.60634078406,157081,9.23808735620476,8.09983384368574,6.14307671888011,9649.60634078406
NH,1096377,979500,116877,9.38060525167484,8.38060525167484,6.28948128370197,7350.95703995235,95915,11.4307146953031,10.2121670228848,7.66403277897341,7350.95703995235
NJ,7161517,6014230,1147287,6.24213209074974,5.24213209074974,4.07566442114767,46759.5680674525,1092361,6.55599842909075,5.50571651679253,4.28059662212881,46759.5680674525
NM,1608707,1233920,374787,4.2923233730092,3.2923233730092,2.70478433201909,10137.1800544444,367093,4.38228732228618,3.36132805583326,2.76147462753155,10137.1800544444
NV,2276830,1874290,402540,5.65615839419685,4.65615839419685,3.66305674171495,14745.2686080994,398586,5.71226786690953,4.70234779947113,3.69939451162343,14745.2686080993
NY,15990731,12674930,3315801,4.82258464847559,3.82258464847559,3.07690900444235,102024.179538389,3114874,5.13366864919737,4.06916299022047,3.27538704738585,102024.179538389
OH,9114358,7508500,1605858,5.67569361674569,4.67569361674569,3.67680597900012,59044.2829582518,1496804,6.08921274929784,5.01635484672676,3.94469035079087,59044.2829582518
OK,2964897,2290660,674237,4.39741070276475,3.39741070276475,2.77847171895138,18733.4843637062,645984,4.58973751671868,3.5460011393471,2.89999200656769,18733.4843637062
OR,3270859,2686690,584169,5.59916565240538,4.59916565240538,3.62294702905458,21164.1334301579,564411,5.7951723123752,4.76016590746814,3.7497733797105,21164.1334301579
PA,10262004,8513090,1748914,5.86764357767163,4.86764357767163,3.81192848679769,66667.350975593,1589869,6.45462236196819,5.35458581807684,4.19326063817792,66667.350975593
RI,872731,706920,165811,5.26340833840939,4.26340833840939,3.38674319947853,5615.59276648735,142666,6.11730195000911,4.95506988350413,3.93618154745163,5615.59276648735
SC,3868196,3044940,823256,4.69865509634913,3.69865509634913,2.98987496545412,24614.325045599,780872,4.95368767224334,3.89940989048141,3.15215874632449,24614.325045599
SD,654631,589040,65591,9.98050037352686,8.98050037352686,6.71304280235285,4403.15190449126,56279,11.6318875601912,10.466426198049,7.82379200854894,4403.15190449126
TN,5222454,4170600,1051854,4.96499894472047,3.96499894472047,3.17696518523219,33417.0353794723,1000884,5.21784142817749,4.16691644586186,3.33875208110753,33417.0353794723
TX,20933570,17132400,3801170,5.50713859153892,4.50713859153892,3.55819033181745,135252.863435945,3672565,5.69998624939245,4.66496848932558,3.68279018712931,135252.863435945
UT,2185310,1925010,260300,8.39535151747983,7.39535151747983,5.59404038171745,14561.2871136105,247084,8.84440109436467,7.79091321170128,5.893253757269,14561.2871136105
VA,6616004,5467520,1148484,5.76064098411471,4.76064098411471,3.73659895919721,42914.2411905465,1064632,6.21435763719295,5.13559614965547,4.03089905155458,42914.2411905465
VT,518281,449640,68641,7.55060386649379,6.55060386649379,4.99805036400281,3430.71175035517,53099,9.76065462626415,8.46795608203544,6.46097242952817,3430.71175035517
WA,5784443,4978130,806313,7.1739423772158,6.1739423772158,4.73241517908123,38158.0788029052,775184,7.46202579000599,6.42186887242255,4.92245438539821,38158.0788029052
WI,4537923,3984800,553123,8.20418424111816,7.20418424111816,5.45914163679115,30195.7679956683,499690,9.08147651543957,7.9745442174148,6.04290019725596,30195.7679956683
WV,1450586,1084750,365836,3.96512645010333,2.96512645010333,2.47559097138498,9056.60298607596,351661,4.12495556800441,3.0846468616082,2.57537884100766,9056.60298607596
