state,n_units,year,variant
AK,337711,2017,v0
AL,2054530,2017,v0
AR,1250359,2017,v0
AZ,3060606,2017,v0
CA,17293678,2017,v0
CO,2597697,2017,v0
CT,1695369,2017,v0
DC,367469,2017,v0
DE,429402,2017,v0
FL,9573794,2017,v0
GA,4390230,2017,v0
HI,663682,2017,v0
IA,1417076,2017,v0
ID,716304,2017,v0
IL,5683521,2017,v0
IN,2889980,2017,v0
KS,1269639,2017,v0
KY,1859773,2017,v0
LA,1908081,2017,v0
MA,3258805,2017,v0
MD,2789200,2017,v0
ME,643174,2017,v0
MI,4449567,2017,v0
MN,2559808,2017,v0
MO,2712747,2017,v0
MS,1185544,2017,v0
MT,474984,2017,v0
NC,4498114,2017,v0
ND,347271,2017,v0
NE,846495,2017,v0
NH,657802,2017,v0
NJ,4073404,2017,v0
NM,864711,2017,v0
NV,1373279,2017,v0
NY,9014184,2017,v0
OH,5252225,2017,v0
OK,1644223,2017,v0
OR,1905932,2017,v0
PA,5855581,2017,v0
RI,499031,2017,v0
SC,2195175,2017,v0
SD,383089,2017,v0
TN,2922129,2017,v0
TX,11539319,2017,v0
UT,1206275,2017,v0
VA,3830184,2017,v0
VT,300744,2017,v0
WA,3417234,2017,v0
WI,2661619,2017,v0
WV,753073,2017,v0
WY,257089,2017,v0
AK,318981,2017,gq_excluded
AL,2030340,2017,gq_excluded
AR,1234205,2017,gq_excluded
AZ,3022645,2017,gq_excluded
CA,17045863,2017,gq_excluded
CO,2562907,2017,gq_excluded
CT,1662313,2017,gq_excluded
DC,361797,2017,gq_excluded
DE,423916,2017,gq_excluded
FL,9476382,2017,gq_excluded
GA,4335512,2017,gq_excluded
HI,642707,2017,gq_excluded
IA,1384556,2017,gq_excluded
ID,708045,2017,gq_excluded
IL,5611260,2017,gq_excluded
IN,2851070,2017,gq_excluded
KS,1240337,2017,gq_excluded
KY,1828591,2017,gq_excluded
LA,1879166,2017,gq_excluded
MA,3201900,2017,gq_excluded
MD,2757068,2017,gq_excluded
ME,633076,2017,gq_excluded
MI,4377372,2017,gq_excluded
MN,2516058,2017,gq_excluded
MO,2672752,2017,gq_excluded
MS,1167522,2017,gq_excluded
MT,463143,2017,gq_excluded
NC,4410324,2017,gq_excluded
ND,337118,2017,gq_excluded
NE,833036,2017,gq_excluded
NH,647815,2017,gq_excluded
NJ,4023262,2017,gq_excluded
NM,853792,2017,gq_excluded
NV,1362568,2017,gq_excluded
NY,8878744,2017,gq_excluded
OH,5168036,2017,gq_excluded
OK,1615776,2017,gq_excluded
OR,1877019,2017,gq_excluded
PA,5738542,2017,gq_excluded
RI,489231,2017,gq_excluded
SC,2157661,2017,gq_excluded
SD,374325,2017,gq_excluded
TN,2885952,2017,gq_excluded
TX,11390873,2017,gq_excluded
UT,1191962,2017,gq_excluded
VA,3756030,2017,gq_excluded
VT,296077,2017,gq_excluded
WA,3355908,2017,gq_excluded
WI,2620979,2017,gq_excluded
WV,741569,2017,gq_excluded
WY,251138,2017,gq_excluded
AK,337711,2017,gq_differentiated
AL,2054530,2017,gq_differentiated
AR,1250359,2017,gq_differentiated
AZ,3060606,2017,gq_differentiated
CA,17293678,2017,gq_differentiated
CO,2597697,2017,gq_differentiated
CT,1695369,2017,gq_differentiated
DC,367469,2017,gq_differentiated
DE,429402,2017,gq_differentiated
FL,9573794,2017,gq_differentiated
GA,4390230,2017,gq_differentiated
HI,663682,2017,gq_differentiated
IA,1417076,2017,gq_differentiated
ID,716304,2017,gq_differentiated
IL,5683521,2017,gq_differentiated
IN,2889980,2017,gq_differentiated
KS,1269639,2017,gq_differentiated
KY,1859773,2017,gq_differentiated
LA,1908081,2017,gq_differentiated
MA,3258805,2017,gq_differentiated
MD,2789200,2017,gq_differentiated
ME,643174,2017,gq_differentiated
MI,4449567,2017,gq_differentiated
MN,2559808,2017,gq_differentiated
MO,2712747,2017,gq_differentiated
MS,1185544,2017,gq_differentiated
MT,474984,2017,gq_differentiated
NC,4498114,2017,gq_differentiated
ND,347271,2017,gq_differentiated
NE,846495,2017,gq_differentiated
NH,657802,2017,gq_differentiated
NJ,4073404,2017,gq_differentiated
NM,864711,2017,gq_differentiated
NV,1373279,2017,gq_differentiated
NY,9014184,2017,gq_differentiated
OH,5252225,2017,gq_differentiated
OK,1644223,2017,gq_differentiated
OR,1905932,2017,gq_differentiated
PA,5855581,2017,gq_differentiated
RI,499031,2017,gq_differentiated
SC,2195175,2017,gq_differentiated
SD,383089,2017,gq_differentiated
TN,2922129,2017,gq_differentiated
TX,11539319,2017,gq_differentiated
UT,1206275,2017,gq_differentiated
VA,3830184,2017,gq_differentiated
VT,300744,2017,gq_differentiated
WA,3417234,2017,gq_differentiated
WI,2661619,2017,gq_differentiated
WV,753073,2017,gq_differentiated
WY,257089,2017,gq_differentiated
