band,pep_adults,filing_adults,residual_nonfiling_adults
18_25,35749714,24688198.2192029,11061515.7807971
26_34,40488269,34999277.4062504,5488991.59374964
35_44,41798993,36940718.1347175,4858274.86528245
45_54,41208228,35715194.5638986,5493033.43610144
55_64,43305751,35805292.0549146,7500458.94508536
65p,54398325,41230945.621016,13167379.378984
total_18p,256949280,209379626,47569654
