state,irs_married_adults,irs_single_adults,irs_children,acs_married_adults,acs_single_adults,acs_children,nonfiler_married_adults,irs_share_married_adults,nonfiler_single_adults,irs_share_single_adults,nonfiler_children,irs_share_children
AK,252790,216960,165630,288406,271385,173792,35616,0.876507423562617,54425,0.799454649298966,8162,0.953035812925796
AL,1558010,1344550,1223560,2013758,1951932,1108606,455748,0.77368283577272,607382,0.688830348598209,-114954,1.10369238485088
AR,1003460,778550,753050,1207359,1143689,694589,203899,0.831119824343878,365139,0.680735759459084,-58461,1.08416631993884
AZ,2362460,2164060,1756780,2871771,2898378,1589048,509311,0.822649159699711,734318,0.746645192587026,-167732,1.10555502414024
CA,12623420,12006360,9813390,14853634,15684573,8491135,2230214,0.849853981860601,3678213,0.765488483492665,-1322255,1.15572182046334
CO,2154820,1861000,1234450,2431961,2198724,1209241,277141,0.88604216926176,337724,0.846400002910779,-25209,1.02084696102762
CT,1264380,1168100,770740,1421136,1475712,729357,156756,0.889696693349546,307612,0.791550112759129,-41383,1.0567390180666
DC,127760,279150,127280,171332,376317,124154,43572,0.745686736861766,97167,0.741794816604086,-3126,1.0251784074617
DE,355740,318250,227500,412348,398221,207827,56608,0.862717898474104,79971,0.799179350159836,-19673,1.09466046278876
FL,7426450,7263840,5041830,8971161,8980967,4292695,1544711,0.827813702150703,1717127,0.808803773580284,-749135,1.17451391258871
GA,3279880,3223310,2812790,4162875,4245577,2504424,882995,0.7878881782422,1022267,0.759216002913149,-308366,1.12312851178554
HI,499480,430800,307810,579826,563859,296511,80346,0.861430843046017,133059,0.764020792432151,-11299,1.03810651206869
IA,1213890,866390,736770,1345039,1140291,715187,131149,0.902494277117615,273901,0.759797279817169,-21583,1.03017812124661
ID,773020,477290,485890,850501,623603,464929,77481,0.90889957801343,146313,0.76537476567624,-20961,1.04508430319468
IL,4222450,3937450,2945620,4862652,5005746,2713634,640202,0.868343035857799,1068296,0.786586055305243,-231986,1.08548905268728
IN,2426440,1996490,1632000,2747893,2520431,1564713,321453,0.883018370802648,523941,0.792122458420802,-67287,1.04300277431069
KS,1092730,799150,700510,1204541,1047472,685137,111811,0.907175430309139,248322,0.762932087922159,-15373,1.02243784819678
KY,1526640,1188760,1041050,1815260,1693405,1003645,288620,0.841003492612629,504645,0.701993911674998,-37405,1.03726915393391
LA,1243760,1331000,1190590,1600021,1933184,1057036,356261,0.777339797415159,602184,0.688501456664239,-133554,1.12634763622053
MA,2412770,2319360,1350080,2729063,2917516,1335395,316293,0.884101979324039,598156,0.794977645366812,-14685,1.01099674628106
MD,2024190,2027570,1496550,2392664,2424963,1347033,368474,0.84599843521698,397393,0.83612409756355,-149517,1.11099728069023
ME,538630,433480,247560,615386,526198,243756,76756,0.875271780638494,92718,0.823796365626627,-3804,1.01560576970413
