state,gq_type,band,persons,year
AK,dorm_student,18_25,2408,2021
AK,institutional,18_25,342,2021
AK,institutional,26_34,1430,2021
AK,institutional,35_44,1045,2021
AK,institutional,45_54,947,2021
AK,institutional,55_64,733,2021
AK,institutional,65p,1231,2021
AK,institutional,u18,384,2021
AK,other_noninstitutional,18_25,5349,2021
AK,other_noninstitutional,26_34,3362,2021
AK,other_noninstitutional,35_44,2350,2021
AK,other_noninstitutional,45_54,2201,2021
AK,other_noninstitutional,55_64,3081,2021
AK,other_noninstitutional,65p,977,2021
AL,dorm_student,18_25,40649,2021
AL,institutional,18_25,3431,2021
AL,institutional,26_34,9848,2021
AL,institutional,35_44,12053,2021
AL,institutional,45_54,8170,2021
AL,institutional,55_64,7163,2021
AL,institutional,65p,19132,2021
AL,institutional,u18,1678,2021
AL,other_noninstitutional,18_25,4362,2021
AL,other_noninstitutional,26_34,2438,2021
AL,other_noninstitutional,35_44,1146,2021
AL,other_noninstitutional,45_54,874,2021
AL,other_noninstitutional,55_64,2345,2021
AL,other_noninstitutional,65p,1214,2021
AL,other_noninstitutional,u18,69,2021
AR,dorm_student,18_25,26329,2021
AR,institutional,18_25,3322,2021
AR,institutional,26_34,8114,2021
AR,institutional,35_44,7887,2021
AR,institutional,45_54,5521,2021
AR,institutional,55_64,3807,2021
AR,institutional,65p,13007,2021
AR,institutional,u18,1920,2021
AR,other_noninstitutional,18_25,826,2021
AR,other_noninstitutional,26_34,641,2021
AR,other_noninstitutional,35_44,706,2021
AR,other_noninstitutional,45_54,1187,2021
AR,other_noninstitutional,55_64,431,2021
AR,other_noninstitutional,65p,1861,2021
AR,other_noninstitutional,u18,233,2021
AZ,dorm_student,18_25,42524,2021
AZ,institutional,18_25,7525,2021
AZ,institutional,26_34,18711,2021
AZ,institutional,35_44,18432,2021
AZ,institutional,45_54,8574,2021
AZ,institutional,55_64,8394,2021
AZ,institutional,65p,12081,2021
AZ,institutional,u18,2052,2021
AZ,other_noninstitutional,18_25,6082,2021
AZ,other_noninstitutional,26_34,4617,2021
AZ,other_noninstitutional,35_44,2531,2021
AZ,other_noninstitutional,45_54,1917,2021
AZ,other_noninstitutional,55_64,3281,2021
AZ,other_noninstitutional,65p,7742,2021
AZ,other_noninstitutional,u18,1246,2021
CA,dorm_student,18_25,209756,2021
CA,institutional,18_25,34437,2021
CA,institutional,26_34,73791,2021
CA,institutional,35_44,66147,2021
CA,institutional,45_54,42675,2021
CA,institutional,55_64,39108,2021
CA,institutional,65p,88531,2021
CA,institutional,u18,10873,2021
CA,other_noninstitutional,18_25,59597,2021
CA,other_noninstitutional,26_34,44617,2021
CA,other_noninstitutional,35_44,26282,2021
CA,other_noninstitutional,45_54,31255,2021
CA,other_noninstitutional,55_64,32055,2021
CA,other_noninstitutional,65p,50681,2021
CA,other_noninstitutional,u18,5891,2021
CO,dorm_student,18_25,40071,2021
CO,institutional,18_25,4238,2021
CO,institutional,26_34,12146,2021
CO,institutional,35_44,11110,2021
CO,institutional,45_54,6541,2021
CO,institutional,55_64,4504,2021
CO,institutional,65p,14345,2021
CO,institutional,u18,1482,2021
CO,other_noninstitutional,18_25,4647,2021
CO,other_noninstitutional,26_34,3309,2021
CO,other_noninstitutional,35_44,2336,2021
CO,other_noninstitutional,45_54,2327,2021
CO,other_noninstitutional,55_64,3456,2021
CO,other_noninstitutional,65p,1077,2021
CO,other_noninstitutional,u18,1129,2021
CT,dorm_student,18_25,50935,2021
CT,institutional,18_25,1880,2021
CT,institutional,26_34,3467,2021
CT,institutional,35_44,5356,2021
CT,institutional,45_54,4180,2021
CT,institutional,55_64,3809,2021
CT,institutional,65p,18606,2021
CT,institutional,u18,1097,2021
CT,other_noninstitutional,18_25,3410,2021
CT,other_noninstitutional,26_34,2671,2021
CT,other_noninstitutional,35_44,1551,2021
CT,other_noninstitutional,45_54,3255,2021
CT,other_noninstitutional,55_64,3181,2021
CT,other_noninstitutional,65p,5251,2021
CT,other_noninstitutional,u18,488,2021
DC,dorm_student,18_25,22878,2021
DC,institutional,18_25,86,2021
DC,institutional,26_34,820,2021
DC,institutional,35_44,1279,2021
DC,institutional,45_54,451,2021
DC,institutional,55_64,1146,2021
DC,institutional,65p,1873,2021
DC,institutional,u18,125,2021
DC,other_noninstitutional,18_25,192,2021
DC,other_noninstitutional,26_34,1486,2021
DC,other_noninstitutional,35_44,1421,2021
DC,other_noninstitutional,45_54,2341,2021
DC,other_noninstitutional,55_64,2592,2021
DC,other_noninstitutional,65p,248,2021
DC,other_noninstitutional,u18,65,2021
DE,dorm_student,18_25,10245,2021
DE,institutional,18_25,1313,2021
DE,institutional,26_34,1903,2021
DE,institutional,35_44,1427,2021
DE,institutional,45_54,930,2021
DE,institutional,55_64,1295,2021
DE,institutional,65p,3637,2021
DE,institutional,u18,769,2021
DE,other_noninstitutional,18_25,490,2021
DE,other_noninstitutional,26_34,377,2021
DE,other_noninstitutional,35_44,537,2021
DE,other_noninstitutional,45_54,275,2021
DE,other_noninstitutional,55_64,93,2021
DE,other_noninstitutional,65p,613,2021
DE,other_noninstitutional,u18,501,2021
FL,dorm_student,18_25,96965,2021
FL,institutional,18_25,19666,2021
FL,institutional,26_34,48416,2021
FL,institutional,35_44,47425,2021
FL,institutional,45_54,28511,2021
FL,institutional,55_64,26233,2021
FL,institutional,65p,62197,2021
FL,institutional,u18,5302,2021
FL,other_noninstitutional,18_25,16882,2021
FL,other_noninstitutional,26_34,9064,2021
FL,other_noninstitutional,35_44,8488,2021
FL,other_noninstitutional,45_54,9054,2021
FL,other_noninstitutional,55_64,10960,2021
FL,other_noninstitutional,65p,20203,2021
FL,other_noninstitutional,u18,3093,2021
GA,dorm_student,18_25,87996,2021
GA,institutional,18_25,15458,2021
GA,institutional,26_34,29762,2021
GA,institutional,35_44,27675,2021
GA,institutional,45_54,15835,2021
GA,institutional,55_64,12096,2021
GA,institutional,65p,26903,2021
GA,institutional,u18,2724,2021
GA,other_noninstitutional,18_25,11953,2021
GA,other_noninstitutional,26_34,6433,2021
GA,other_noninstitutional,35_44,2988,2021
GA,other_noninstitutional,45_54,5341,2021
GA,other_noninstitutional,55_64,2827,2021
GA,other_noninstitutional,65p,2820,2021
GA,other_noninstitutional,u18,2657,2021
HI,dorm_student,18_25,6757,2021
HI,institutional,18_25,153,2021
HI,institutional,26_34,1883,2021
HI,institutional,35_44,2058,2021
HI,institutional,45_54,1080,2021
HI,institutional,55_64,1227,2021
HI,institutional,65p,3840,2021
HI,institutional,u18,155,2021
HI,other_noninstitutional,18_25,11921,2021
HI,other_noninstitutional,26_34,5684,2021
HI,other_noninstitutional,35_44,1178,2021
HI,other_noninstitutional,45_54,1159,2021
HI,other_noninstitutional,55_64,1306,2021
HI,other_noninstitutional,65p,2315,2021
HI,other_noninstitutional,u18,1420,2021
IA,dorm_student,18_25,45383,2021
IA,institutional,18_25,1985,2021
IA,institutional,26_34,3842,2021
IA,institutional,35_44,5305,2021
IA,institutional,45_54,3081,2021
IA,institutional,55_64,2097,2021
IA,institutional,65p,19110,2021
IA,institutional,u18,2119,2021
IA,other_noninstitutional,18_25,71,2021
IA,other_noninstitutional,26_34,1389,2021
IA,other_noninstitutional,35_44,1955,2021
IA,other_noninstitutional,45_54,2408,2021
IA,other_noninstitutional,55_64,978,2021
IA,other_noninstitutional,65p,1804,2021
IA,other_noninstitutional,u18,132,2021
ID,dorm_student,18_25,7427,2021
ID,institutional,18_25,1899,2021
ID,institutional,26_34,2678,2021
ID,institutional,35_44,4183,2021
ID,institutional,45_54,2003,2021
ID,institutional,55_64,1292,2021
ID,institutional,65p,3999,2021
ID,institutional,u18,861,2021
ID,other_noninstitutional,18_25,506,2021
ID,other_noninstitutional,26_34,734,2021
ID,other_noninstitutional,35_44,709,2021
ID,other_noninstitutional,45_54,420,2021
ID,other_noninstitutional,55_64,105,2021
ID,other_noninstitutional,65p,1540,2021
ID,other_noninstitutional,u18,606,2021
IL,dorm_student,18_25,89238,2021
IL,institutional,18_25,9229,2021
IL,institutional,26_34,21936,2021
IL,institutional,35_44,23714,2021
IL,institutional,45_54,18457,2021
IL,institutional,55_64,18600,2021
IL,institutional,65p,57785,2021
IL,institutional,u18,3086,2021
IL,other_noninstitutional,18_25,9186,2021
IL,other_noninstitutional,26_34,9152,2021
IL,other_noninstitutional,35_44,5191,2021
IL,other_noninstitutional,45_54,6692,2021
IL,other_noninstitutional,55_64,7242,2021
IL,other_noninstitutional,65p,9196,2021
IL,other_noninstitutional,u18,417,2021
IN,dorm_student,18_25,75594,2021
IN,institutional,18_25,6492,2021
IN,institutional,26_34,15384,2021
IN,institutional,35_44,15450,2021
IN,institutional,45_54,9765,2021
IN,institutional,55_64,8030,2021
IN,institutional,65p,32272,2021
IN,institutional,u18,3042,2021
IN,other_noninstitutional,18_25,1063,2021
IN,other_noninstitutional,26_34,3315,2021
IN,other_noninstitutional,35_44,1651,2021
IN,other_noninstitutional,45_54,1049,2021
IN,other_noninstitutional,55_64,4031,2021
IN,other_noninstitutional,65p,3391,2021
IN,other_noninstitutional,u18,1026,2021
KS,dorm_student,18_25,27140,2021
KS,institutional,18_25,3314,2021
KS,institutional,26_34,5777,2021
KS,institutional,35_44,4644,2021
KS,institutional,45_54,3595,2021
KS,institutional,55_64,2758,2021
KS,institutional,65p,16350,2021
KS,institutional,u18,1783,2021
KS,other_noninstitutional,18_25,4356,2021
KS,other_noninstitutional,26_34,1128,2021
KS,other_noninstitutional,35_44,421,2021
KS,other_noninstitutional,45_54,2277,2021
KS,other_noninstitutional,55_64,448,2021
KS,other_noninstitutional,65p,856,2021
KY,dorm_student,18_25,43470,2021
KY,institutional,18_25,3141,2021
KY,institutional,26_34,11506,2021
KY,institutional,35_44,12692,2021
KY,institutional,45_54,7781,2021
KY,institutional,55_64,5831,2021
KY,institutional,65p,18505,2021
KY,institutional,u18,2863,2021
KY,other_noninstitutional,18_25,7310,2021
KY,other_noninstitutional,26_34,3278,2021
KY,other_noninstitutional,35_44,2082,2021
KY,other_noninstitutional,45_54,1505,2021
KY,other_noninstitutional,55_64,3296,2021
KY,other_noninstitutional,65p,1635,2021
KY,other_noninstitutional,u18,270,2021
LA,dorm_student,18_25,26268,2021
LA,institutional,18_25,7436,2021
LA,institutional,26_34,16987,2021
LA,institutional,35_44,19155,2021
LA,institutional,45_54,11384,2021
LA,institutional,55_64,7585,2021
LA,institutional,65p,17760,2021
LA,institutional,u18,1409,2021
LA,other_noninstitutional,18_25,2666,2021
LA,other_noninstitutional,26_34,2980,2021
LA,other_noninstitutional,35_44,1742,2021
LA,other_noninstitutional,45_54,1473,2021
LA,other_noninstitutional,55_64,2860,2021
LA,other_noninstitutional,65p,1746,2021
LA,other_noninstitutional,u18,297,2021
MA,dorm_student,18_25,148208,2021
MA,institutional,18_25,4954,2021
MA,institutional,26_34,6298,2021
MA,institutional,35_44,4950,2021
MA,institutional,45_54,4533,2021
MA,institutional,55_64,5709,2021
MA,institutional,65p,34529,2021
MA,institutional,u18,2140,2021
MA,other_noninstitutional,18_25,3382,2021
MA,other_noninstitutional,26_34,8364,2021
MA,other_noninstitutional,35_44,3969,2021
MA,other_noninstitutional,45_54,5829,2021
