band,pep_adults,filing_adults,residual_nonfiling_adults
18_25,36389627,24460782.8249362,11928844.1750638
26_34,38523916,33229928.3916188,5293987.60838122
35_44,40460531,35051853.5107853,5408677.48921467
45_54,43489309,37546133.9646373,5943175.03536265
55_64,40387341,33838275.0885513,6549065.91144866
65p,46327079,35476934.219471,10850144.780529
total_18p,245577803,199603908,45973895
