tax_year,variable,amount_B,recipients_M
2014,INCTOT,9540.52698458257,222.65216664
2014,INCWAGE,7164.88485169618,151.15654356
2014,INCRETIR,483.81668625126,21.44904864
2014,INCSS,711.58720956143,49.74357498
2014,INCINT,265.18454269479,123.45064074
2014,INCDIVID,102.7986389288,30.30589477
2014,INCBUS,342.28666745299,10.98268628
2014,INCRENT,89.3885865482,10.90725791
2015,INCTOT,10091.1892003168,226.53369897
2015,INCWAGE,7605.16052756756,154.11497469
2015,INCRETIR,507.11118667847,22.12614495
2015,INCSS,744.0255802117,50.6926374
2015,INCINT,208.94771440246,129.10361122
2015,INCDIVID,103.56384533298,30.39329631
2015,INCBUS,414.61594760445,11.57984788
2015,INCRENT,93.61036286411,11.30116489
2016,INCTOT,10633.7098995613,228.23936864
2016,INCWAGE,8005.54255606889,155.74299759
2016,INCRETIR,545.49241972116,22.68003167
2016,INCSS,769.25267343236,51.43377426
2016,INCINT,298.61824702977,132.65725146
2016,INCDIVID,129.81604541491,30.00098365
2016,INCBUS,382.74702851661,11.38460772
2016,INCRENT,99.21793180883,11.31388462
2017,INCTOT,11149.1924662585,231.20675934
2017,INCWAGE,8328.95050621436,157.18366088
2017,INCRETIR,570.56078055336,22.89369857
2017,INCSS,813.95015314911,52.76840882
2017,INCINT,372.65046859646,136.6159002
2017,INCDIVID,132.78673763812,31.1699582
2017,INCBUS,431.42345300381,11.77436141
2017,INCRENT,103.51851983772,10.99564918
2018,INCTOT,11695.3919979958,231.97735096
2018,INCWAGE,8723.97684592143,158.9382038
2018,INCRETIR,179.69835712946,10.59067066
2018,INCSS,837.92253004277,53.87051035
2018,INCINT,351.31799214762,135.51655424
2018,INCDIVID,150.97684466151,31.15306678
2018,INCBUS,450.98213301233,11.60003087
2018,INCRENT,149.19072787034,10.85139707
2019,INCTOT,12780.4485274849,235.8448306646
2019,INCWAGE,9399.41855089711,162.4201152063
2019,INCRETIR,185.014398175235,11.3194657609
2019,INCSS,891.035678649233,54.0316800877
2019,INCINT,569.090702269462,143.6126508387
2019,INCDIVID,180.12555377265,33.2115564029
2019,INCBUS,457.618786368274,11.904143111
2019,INCRENT,144.237590724674,11.1649821089
2020,INCTOT,12767.0594118313,236.0534617832
2020,INCWAGE,9232.30146320704,159.0701896427
2020,INCRETIR,155.262477925739,8.9724204324
2020,INCSS,907.456959797453,54.4130239786
2020,INCINT,571.820421001038,143.2193939738
2020,INCDIVID,213.720686958777,35.4445378285
2020,INCBUS,414.426559232511,11.6407592417
2020,INCRENT,164.233779687247,10.7702420522
2021,INCTOT,13578.9359792337,237.26930846
2021,INCWAGE,9903.19734254103,158.79714984
2021,INCRETIR,216.9205672024,10.68027438
2021,INCSS,951.60592617739,55.3229456
2021,INCINT,576.49361660256,148.3576394
2021,INCDIVID,213.54421135291,38.91790638
2021,INCBUS,503.94663748057,12.04542448
2021,INCRENT,222.63882722016,11.67158728
2022,INCTOT,14210.036316026,238.95927876
2022,INCWAGE,10747.8015045806,161.81828097
2022,INCRETIR,221.47545989918,11.1213125
2022,INCSS,1044.38260814828,56.33005091
2022,INCINT,343.5288760584,147.93782069
2022,INCDIVID,179.98327553184,36.58911581
2022,INCBUS,488.84475514254,12.05932294
2022,INCRENT,208.84868852934,11.5273469
2023,INCTOT,15348.9328917848,241.64811808
2023,INCWAGE,11170.720870963,163.95812509
2023,INCRETIR,225.20135653147,11.27653871
2023,INCSS,1135.45563922263,57.02159368
2023,INCINT,702.12896493127,153.22477258
2023,INCDIVID,228.09411558032,38.67075685
2023,INCBUS,579.37854742464,12.32671994
2023,INCRENT,252.20568612103,11.07727113
2024,INCTOT,16529.1629836309,246.3136692
2024,INCWAGE,12072.4233361957,166.74784658
2024,INCRETIR,299.48868736586,12.36165761
2024,INCSS,1226.32250797945,59.24905461
2024,INCINT,816.69477274832,156.43970506
2024,INCDIVID,218.43680182223,40.64329837
2024,INCBUS,531.59444045685,12.3336929
2024,INCRENT,239.26818513737,11.81121683
