scenario,year,conv_iit,convnw_iit,conv_pr,convnw_pr,conv_wealth,convnw_wealth,conv_estate,convnw_estate,dY_exog
s_corp_r28,2027,2575.4526464138,2575.53048026139,1766.02275015154,1766.02406017139,0,0,37.2390749847407,37.2426121610822,-13.8432759709622
s_corp_r28,2028,2650.95999040465,2651.10604742267,1837.11940376129,1837.12165620494,0,0,39.1993698622987,39.207144654179,-14.3690202835741
s_corp_r28,2029,2813.99498518747,2814.21613946604,1913.89424840501,1913.89767251589,0,0,41.0108228777999,41.0242553985518,-15.0145740981109
s_corp_r28,2030,2983.71537417784,2984.02022394702,1990.21253101191,1990.21737111322,0,0,43.2803406598855,43.3003623880744,-16.3584837878842
s_corp_r28,2031,3122.92739170172,3123.32117388232,2069.58701429709,2069.59325868342,0,0,45.7156010948943,45.7433609571339,-17.3752974198002
s_corp_r28,2032,3271.37142805915,3271.85688261437,2149.5411242568,2149.54870932504,0,0,48.0429872022834,48.0775642579539,-18.3825530338464
s_corp_r28,2033,3422.47542006991,3423.06453084747,2231.26523565324,2231.27427227374,0,0,50.5085860628239,50.5552751790113,-19.3460100829737
s_corp_r28,2034,3584.85507007894,3585.55646983356,2315.65558118904,2315.66612627148,0,0,53.1682997872706,53.2184640914966,-20.1344676803808
s_corp_r28,2035,3756.01580757376,3756.83809779642,2404.08519940326,2404.09710986707,0,0,56.0056403555608,56.0778138137727,-20.8526932288646
s_corp_r28,2036,3941.30187322174,3942.24988500069,2496.09611846073,2496.10977177477,0,0,59.1678652334921,59.2560463452126,-21.9713536889068
s_corp_r28,2037,4123.64289209031,4124.71610706242,2593.65672912353,2593.67184949929,0,0,61.7659710148408,61.8707121370077,-22.898509395228
s_corp_r28,2038,4324.78884872498,4326.0046688596,2694.19795987868,2694.21486233779,0,0,64.8020189880683,64.9255109475661,-23.8230458886634
s_corp_r28,2039,4526.89747337182,4528.26456008758,2799.41246186332,2799.43138964963,0,0,67.3327227136476,67.4711194345028,-24.7833796427313
s_corp_r28,2040,4740.70741404744,4742.23158386943,2908.96173788476,2908.9827309322,0,0,70.4286909096702,70.5928263897913,-25.7925740710566
s_corp_r28,2041,4958.56465288383,4960.25578305482,3022.65826996435,3022.68095673973,0,0,73.7139695345276,73.9045217023512,-26.8202520068439
s_corp_r28,2042,5200.33244385901,5202.2055963184,3140.78432203838,3140.8088378604,0,0,77.2056089377584,77.4222711623044,-27.8960709327829
s_corp_r28,2043,5445.55484324085,5447.62018912849,3262.35981244134,3262.38632525323,0,0,80.5417306115625,80.7886270125831,-29.0124698157852
s_corp_r28,2044,5696.2565381252,5698.52332727193,3387.39810609422,3387.42698465164,0,0,83.9866377676242,84.1323477417134,-30.1935131156798
s_corp_r28,2045,5958.70067939696,5961.17145014851,3515.1222898283,3515.15308100622,0,0,86.7117184733774,86.9798588979539,-31.4153804526242
s_corp_r28,2046,6224.98444297159,6227.67637687026,3645.61881899394,3645.65218103334,0,0,90.0636190091887,90.3869264868172,-32.6457337161286
s_corp_r28,2047,6503.22683483498,6506.15205472804,3778.36907812794,3778.40472591524,0,0,93.8915148011386,94.2860893226063,-33.9270427392604
s_corp_r28,2048,6796.3967121647,6799.55990257409,3916.78460089733,3916.82247357869,0,0,97.5131025806962,97.9569507431864,-35.2297844355401
s_corp_r28,2049,7093.7711919696,7097.20296101344,4058.97729415881,4059.0178972462,0,0,101.448567406996,101.94451235099,-36.5654816584491
s_corp_r28,2050,7405.56598126912,7409.26507194605,4207.52794601615,4207.57121035802,0,0,105.039675026687,105.58872190363,-37.940178884461
s_corp_r28,2051,7735.23524679882,7739.21724444926,4360.14744492352,4360.19344585514,0,0,108.920301046625,109.524827156755,-39.3718028562327
s_corp_r28,2052,8092.71361092388,8096.99913663575,4518.51893212842,4518.56763429567,0,0,113.159216367296,113.827404237128,-40.8462818332667
s_corp_r28,2053,8437.04476218519,8441.63155145763,4680.14519145719,4680.19693999207,0,0,116.785838537111,117.512658222335,-42.3748677017283
s_corp_r28,2054,8807.62092467566,8812.54514533577,4846.41969510441,4846.47443935664,0,0,120.814681527188,121.614644321616,-43.9693344050488
s_corp_r28,2055,9189.7867950731,9195.05946489464,5018.89417205929,5018.95245557169,0,0,125.270376803286,126.132763836096,-45.6494203920028
s_corp_r28,2056,9586.92785187845,9592.54670644693,5196.47389655288,5196.53545242748,0,0,126.535648824485,127.365495318026,-47.3593935102224
s_corp_r28,2057,9993.01105996566,9999.01542483667,5381.36891660664,5381.43443915043,0,0,131.104255630148,132.113520747412,-49.1189941340961
s_cg_r30,2027,2611.22090922241,2611.482029866,1765.79033200599,1765.79148329439,0,0,37.8776240836853,37.8916025084317,0
