grp,n_units,smear_B,holdings_B
other,184481727.02067152,43.457717483197406,55.035621359548216
top1pct_NW_flowpoor,141058.34438900044,0,1.8462300053885818
top1pct_NW_flowrich,1724562.381054034,56.542282516802594,43.1181486350632
