ID,kind,levers_json,label
t3_ord_cg_corp,triple,"{""cg"": {""rate"": 40.0}, ""corp"": {""rate"": 28.0}, ""ord"": {""rate"": 44.8}}",ord 44.8% + cg 40% + corp 28%
t3_ord_cg_wealth,triple,"{""cg"": {""rate"": 40.0}, ""ord"": {""rate"": 44.8}, ""wealth"": {""rate"": 2.0, ""thr"": 50000000.0}}",ord 44.8% + cg 40% + wealth 2% > $50M
t3_ord_cg_deemed,triple,"{""cg"": {""rate"": 40.0}, ""deemed"": {""pos"": ""deemed""}, ""ord"": {""rate"": 44.8}}",ord 44.8% + cg 40% + deemed:deemed
t3co_ord_cg_deemed,tripco,"{""cg"": {""rate"": 40.0}, ""deemed"": {""pos"": ""carryover""}, ""ord"": {""rate"": 44.8}}",ord 44.8% + cg 40% + deemed:carryover
t3_ord_cg_estate,triple,"{""cg"": {""rate"": 40.0}, ""estate"": {""exem"": 8460000.0, ""rate"": 50.0}, ""ord"": {""rate"": 44.8}}",ord 44.8% + cg 40% + estate 50% / $8.46M
t3_ord_cg_qbi,triple,"{""cg"": {""rate"": 40.0}, ""ord"": {""rate"": 44.8}, ""qbi"": {""on"": 1}}",ord 44.8% + cg 40% + qbi
t3_ord_cg_taxmax,triple,"{""cg"": {""rate"": 40.0}, ""ord"": {""rate"": 44.8}, ""taxmax"": {""on"": 1}}",ord 44.8% + cg 40% + taxmax
t3_ord_corp_wealth,triple,"{""corp"": {""rate"": 28.0}, ""ord"": {""rate"": 44.8}, ""wealth"": {""rate"": 2.0, ""thr"": 50000000.0}}",ord 44.8% + corp 28% + wealth 2% > $50M
t3_ord_corp_deemed,triple,"{""corp"": {""rate"": 28.0}, ""deemed"": {""pos"": ""deemed""}, ""ord"": {""rate"": 44.8}}",ord 44.8% + corp 28% + deemed:deemed
t3co_ord_corp_deemed,tripco,"{""corp"": {""rate"": 28.0}, ""deemed"": {""pos"": ""carryover""}, ""ord"": {""rate"": 44.8}}",ord 44.8% + corp 28% + deemed:carryover
t3_ord_corp_estate,triple,"{""corp"": {""rate"": 28.0}, ""estate"": {""exem"": 8460000.0, ""rate"": 50.0}, ""ord"": {""rate"": 44.8}}",ord 44.8% + corp 28% + estate 50% / $8.46M
t3_ord_corp_qbi,triple,"{""corp"": {""rate"": 28.0}, ""ord"": {""rate"": 44.8}, ""qbi"": {""on"": 1}}",ord 44.8% + corp 28% + qbi
