year,ts_static,ts_returns,ts_conv,scenario
2025,0,0,0,wealth_tax_nickel_dime
2026,1409.5748764599364,130508.94498600998,354.0400447608887,wealth_tax_nickel_dime
2027,1486.9206251423795,132102.3529945444,369.818048319521,wealth_tax_nickel_dime
2028,1563.5073992918888,136177.231059081,386.61476042914546,wealth_tax_nickel_dime
2029,1627.3728285767238,137060.11401195877,398.4194961818927,wealth_tax_nickel_dime
2030,1706.4174020222688,139776.95182776081,415.2354216952057,wealth_tax_nickel_dime
2031,1789.4115569742503,142914.14619702572,433.9721890317308,wealth_tax_nickel_dime
2025,0,0,0,wealth_tax_nickel_dime_flat
2026,1812.9530751167454,308743.1081074693,460.67040832848954,wealth_tax_nickel_dime_flat
2027,1915.8505000135517,315970.8558942621,484.34091202565173,wealth_tax_nickel_dime_flat
2028,2017.3958457317492,327629.4345314132,509.8082195130069,wealth_tax_nickel_dime_flat
2029,2099.441114001672,326292.44959345326,526.906383098686,wealth_tax_nickel_dime_flat
2030,2202.7713460539244,336027.29126369226,548.4292833834011,wealth_tax_nickel_dime_flat
2031,2312.493986408784,342010.49533548055,570.3269769042092,wealth_tax_nickel_dime_flat
2025,0,0,0,wealth_tax_warren
2026,435.2466093435929,130508.94498600998,280.9984922092083,wealth_tax_warren
2027,458.43685401206807,132102.3529945444,295.91668163723443,wealth_tax_warren
2028,481.3884141057694,136177.231059081,310.9274142848835,wealth_tax_warren
2029,499.6091790300571,137060.11401195877,322.8734405003682,wealth_tax_warren
2030,523.0070056205254,139776.95182776081,338.2315084454039,wealth_tax_warren
2031,547.5059072803116,142914.14619702572,354.37216669880104,wealth_tax_warren
