year,ts_static,wts_static,static_ratio,ts_conv,wts_conv,conv_ratio,ts_returns,wts_returns
2026,1812.9530751167454,1783.6844581507867,1.0164090777559964,460.67040832848954,392.06870864513036,1.1749736670402127,308743.1081074693,304231.24657342595
2027,1915.8505000135517,1859.751452928477,1.0301648088494502,484.34091202565173,406.7695218488598,1.1907010874959665,315970.8558942621,318375.53251451644
2028,2017.3958457317492,1933.259479002337,1.0435204728818042,509.8082195130069,421.19483461687196,1.2103857350879899,327629.4345314132,323095.4793614229
2029,2099.441114001672,2009.148237280911,1.0449408734733079,526.906383098686,437.75983037098246,1.2036426061572523,326292.44959345326,329786.7046395563
2030,2202.7713460539244,2085.3867832019055,1.056289108475017,548.4292833834011,453.1297187769117,1.2103140903309588,336027.29126369226,339942.4735563109
