source,threshold,public_T,private_T,private_share
TaxData,Total,104.65722545151095,107.87317188334274,0.507565850513997
WTS,Total,88.58031354564424,112.63659145536316,0.5597769802432815
TaxData,>= $10M,51.67711862936864,42.96883415360511,0.45399547355325426
WTS,>= $10M,41.8196850400914,47.43258287346944,0.5314440067719849
TaxData,>= $50M,21.72611881569919,19.59545541683793,0.47421851129302395
WTS,>= $50M,17.55137774051202,23.67759972886814,0.5742950997621264
TaxData,>= $100M,12.437884835701462,13.989289986737228,0.5293524593805332
WTS,>= $100M,10.520223919507687,16.56523420758937,0.61159143514789
TaxData,>= $250M,6.969999595833771,7.95685786678864,0.5330564646117245
WTS,>= $250M,6.253377849897452,9.779027347728356,0.6099538545330992
TaxData,>= $500M,5.194139522511389,5.418059065507828,0.5105501014299354
WTS,>= $500M,4.723932010942673,6.160351052984508,0.5659859282235332
TaxData,>= $1B,4.223998141506209,4.961676708201424,0.5401537491128751
WTS,>= $1B,3.120591799321393,3.6210795193349696,0.5371189647460687
TaxData,>= $5B,3.190373489896957,3.8419659365286623,0.5463282847371672
WTS,>= $5B,2.3167926275755866,2.669975585144069,0.5354120085898143
