source,threshold,count,wealth_T,count_married,count_nonmarried
TaxData,Total (all units),186347347.74611455,193.857423016634,62105062.13284863,124242285.61326592
TaxData,>= $10M,3249477.0209835568,92.67552415889546,2568739.871358461,680737.1496250958
TaxData,>= $50M,308743.1081074693,40.921517025696815,257607.206260115,51135.90184735431
TaxData,>= $100M,98768.30224064412,26.224480706055505,79373.04313865567,19395.25910198844
TaxData,>= $500M,3592.6051034180127,10.606059714800315,2221.9479963871295,1370.6571070308835
TaxData,>= $1B,1474.0163911552468,9.185674849707635,1182.8089606895162,291.20743046573057
TaxData,>= $5B,322,7.032339426425619,253,69
WTS,Total (all units),138162222.55553958,181.15415102476555,77915547.40181519,60246675.15372438
WTS,>= $10M,2886199.7223655516,87.2114696051517,2500112.008361121,386087.7140044303
WTS,>= $50M,304231.24657342595,40.520010195905954,288353.07404383365,15878.172529592279
WTS,>= $100M,97107.77786867578,26.82902492603586,92172.16087520742,4935.616993468345
WTS,>= $500M,6991.84420968971,10.803434241411582,5697.372017560455,1294.4721921292548
WTS,>= $1B,1164.6685798263775,6.7005953131745315,1164.6685798263775,0
WTS,>= $5B,281.2340110308338,4.954941190638989,281.2340110308338,0
