period,dollars,group_dimension,group,measure,dollars_B,avg,pct_chg_ati
avg_2030_2039,2026,Income,Quintile 1,carbon,10.69017433381579,276.88767748835403,-0.02190246731126395
avg_2030_2039,2026,Income,Quintile 1,gambling,0.46014584050341095,11.919131041144091,-9.430332662682719e-4
avg_2030_2039,2026,Income,Quintile 1,guns,0.029672109604839726,0.7685716714669865,-6.0802948395994284e-5
avg_2030_2039,2026,Income,Quintile 1,alcohol,1.8141474430033218,46.978749590685965,-0.0037136164609650204
avg_2030_2039,2026,Income,Quintile 1,tobacco,0.06284183764622779,1.6280845191801685,-1.2888803478342602e-4
avg_2030_2039,2026,Income,Quintile 1,carried_interest,0.003468025750648033,0.0895435739001904,-7.011486467274025e-6
avg_2030_2039,2026,Income,Quintile 1,qsbs,0.016376090630825863,0.4241230569965945,-3.3539440955597006e-5
avg_2030_2039,2026,Income,Quintile 1,oz,0.007754449034207963,0.20107878316292355,-1.5961948686683232e-5
avg_2030_2039,2026,Income,Quintile 1,cola_ss,-1.1789573687864232,-30.46468228207664,0.0023920027228174394
avg_2030_2039,2026,Income,Quintile 1,cola_snap,-0.29643532708485126,-7.6671471792733845,6.038419749100037e-4
avg_2030_2039,2026,Income,Quintile 1,cola_ssi,-0.27660546611350745,-7.150600018699252,5.62220252844537e-4
avg_2030_2039,2026,Income,Quintile 1,all_excises,13.05698156457359,338.1822143108312,-0.026748808021676663
avg_2030_2039,2026,Income,Quintile 1,all_income_tax,0.02759856541568186,0.7147454140597085,-5.6512876109554266e-5
avg_2030_2039,2026,Income,Quintile 1,all_measures,13.084580129989272,338.8969597248909,-0.026805320897786217
avg_2030_2039,2026,Income,Quintile 1,benefit_offset,-1.751998161984782,-45.28242948004928,0.0035580649505719797
avg_2030_2039,2026,Income,Quintile 1,all_excises_net,11.304983402588807,292.8997848307819,-0.023190743071104684
avg_2030_2039,2026,Income,Quintile 1,all_measures_net,11.33258196800449,293.61453024484166,-0.02324725594721424
avg_2030_2039,2026,Income,Quintile 2,carbon,13.867228013181872,359.1595276603296,-0.010656773218687549
avg_2030_2039,2026,Income,Quintile 2,gambling,0.6961932417941805,18.032198646164222,-5.351149096858621e-4
avg_2030_2039,2026,Income,Quintile 2,guns,0.11562522785092601,2.994734571405216,-8.8862057307284e-5
avg_2030_2039,2026,Income,Quintile 2,alcohol,2.1108762581381773,54.662011259940435,-0.0016210210975799082
avg_2030_2039,2026,Income,Quintile 2,tobacco,0.05974998696687617,1.5479121204130386,-4.596436573070524e-5
avg_2030_2039,2026,Income,Quintile 2,carried_interest,0.008449758914625667,0.2177785538520902,-6.361568631442361e-6
avg_2030_2039,2026,Income,Quintile 2,qsbs,0.04455515441244355,1.153447734778515,-3.4175622355301053e-5
avg_2030_2039,2026,Income,Quintile 2,oz,0.02115491392818306,0.5483234900035622,-1.6303769991074505e-5
avg_2030_2039,2026,Income,Quintile 2,cola_ss,-2.7546827867364656,-71.18041469702965,0.002097410410207225
avg_2030_2039,2026,Income,Quintile 2,cola_snap,-0.1445739420391117,-3.739178548885884,1.1049402104554208e-4
avg_2030_2039,2026,Income,Quintile 2,cola_ssi,-0.08664240476151781,-2.2397217398299714,6.607839356514116e-5
avg_2030_2039,2026,Income,Quintile 2,all_excises,16.84967272793203,436.39638425825257,-0.012947735648991307
avg_2030_2039,2026,Income,Quintile 2,all_income_tax,0.07415982725525228,1.9195497786341675,-5.684096097781792e-5
avg_2030_2039,2026,Income,Quintile 2,all_measures,16.923832555187285,438.3159340368867,-0.013004576609969124
avg_2030_2039,2026,Income,Quintile 2,benefit_offset,-2.985899133537095,-77.15931498574551,0.002273982824817908
avg_2030_2039,2026,Income,Quintile 2,all_excises_net,13.863773594394939,359.23706927250703,-0.0106737528241734
avg_2030_2039,2026,Income,Quintile 2,all_measures_net,13.93793342165019,361.1566190511412,-0.010730593785151217
avg_2030_2039,2026,Income,Quintile 3,carbon,16.56809362897116,429.10936264580624,-0.007684239389220317
avg_2030_2039,2026,Income,Quintile 3,gambling,1.4260527981914188,36.93652253810413,-6.615431128745104e-4
avg_2030_2039,2026,Income,Quintile 3,guns,0.12805228846292238,3.316611616765701,-5.93959587452793e-5
avg_2030_2039,2026,Income,Quintile 3,alcohol,3.1548894739641367,81.6960652975625,-0.001462134247963657
avg_2030_2039,2026,Income,Quintile 3,tobacco,0.07397970628070488,1.916536030557519,-3.4346141928387214e-05
avg_2030_2039,2026,Income,Quintile 3,carried_interest,0.04053204366256935,1.0474237637697046,-1.863005571473127e-5
avg_2030_2039,2026,Income,Quintile 3,qsbs,0.12235034809885195,3.1689609062728845,-5.675365578035478e-5
avg_2030_2039,2026,Income,Quintile 3,oz,0.05842379971490731,1.5152271866097466,-2.7235086078075348e-5
avg_2030_2039,2026,Income,Quintile 3,cola_ss,-2.3586216841467773,-60.94542998515273,0.0010840664107390967
avg_2030_2039,2026,Income,Quintile 3,cola_snap,-0.05616141594596261,-1.452532683560362,2.5912427776360306e-5
avg_2030_2039,2026,Income,Quintile 3,cola_ssi,-0.04978348118893841,-1.28691968629524,2.2921133770925133e-5
avg_2030_2039,2026,Income,Quintile 3,all_excises,21.35106789587034,552.9750981287962,-0.009901658850732152
avg_2030_2039,2026,Income,Quintile 3,all_income_tax,0.2213061914763286,5.731611856652336,-1.0261879757316139e-4
avg_2030_2039,2026,Income,Quintile 3,all_measures,21.57237408734667,558.7067099854485,-0.010004277648305313
avg_2030_2039,2026,Income,Quintile 3,benefit_offset,-2.4645665812816784,-63.68488235500833,0.001132899972286382
avg_2030_2039,2026,Income,Quintile 3,all_excises_net,18.886501314588664,489.29021577378774,-0.008768758878445769
avg_2030_2039,2026,Income,Quintile 3,all_measures_net,19.10780750606499,495.0218276304401,-0.008871377676018932
avg_2030_2039,2026,Income,Quintile 4,carbon,22.835272704968773,591.4409668891172,-0.006252089336227941
