group_dimension,year,group,income_cutoff,share_income,share_consumption,measure,dollars_B,avg,pct_chg_ati
Income,2030,Quintile 1,0,0.021362836803136165,0.10199217384597731,carbon,10.388264710919561,274.90523363451683,-0.021364584795430915
Income,2030,Quintile 1,0,0.021362836803136165,0.10199217384597731,gambling,0.4532034215064901,11.993147646906241,-9.320616289433906e-4
Income,2030,Quintile 1,0,0.021362836803136165,0.10199217384597731,guns,0.02900247161333681,0.7674940383895013,-5.9646705325952704e-5
Income,2030,Quintile 1,0,0.021362836803136165,0.10199217384597731,alcohol,1.7170397371649055,45.43811918932942,-0.0035312770787621576
Income,2030,Quintile 1,0,0.021362836803136165,0.10199217384597731,tobacco,0.0625222945436575,1.654530998889881,-1.285838299806511e-4
Income,2030,Quintile 1,0,0.021362836803136165,0.10199217384597731,carried_interest,0.0020556805159800988,0.05439958917579502,-4.227728299011004e-6
Income,2030,Quintile 1,0,0.021362836803136165,0.10199217384597731,qsbs,0.015413709454442745,0.4078938606843665,-3.169995295801691e-5
Income,2030,Quintile 1,0,0.021362836803136165,0.10199217384597731,oz,0.011357470124326233,0.3005533710305858,-2.335786007432825e-5
Income,2030,Quintile 1,0,0.021362836803136165,0.10199217384597731,all_excises,12.650032635747952,334.7585255080319,-0.026016154038443068
Income,2030,Quintile 1,0,0.021362836803136165,0.10199217384597731,all_income_tax,0.028826860094749076,0.7628468208907474,-5.9285541331356164e-5
Income,2030,Quintile 1,0,0.021362836803136165,0.10199217384597731,all_measures,12.6788594958427,335.5213723289226,-0.026075439579774422
Income,2030,Quintile 2,25535,0.058920616385698184,0.13240984977788173,carbon,13.449489667773058,355.90621896363837,-0.010341347250716048
Income,2030,Quintile 2,25535,0.058920616385698184,0.13240984977788173,gambling,0.6820928987900037,18.049837621124684,-5.244629869144242e-4
Income,2030,Quintile 2,25535,0.058920616385698184,0.13240984977788173,guns,0.11242226508150434,2.9749666553044136,-8.644176921490483e-5
Income,2030,Quintile 2,25535,0.058920616385698184,0.13240984977788173,alcohol,2.004667212688804,53.048371765215364,-0.001541393783751838
Income,2030,Quintile 2,25535,0.058920616385698184,0.13240984977788173,tobacco,0.059323650791811976,1.569848133273373,-4.5614107908372675e-5
Income,2030,Quintile 2,25535,0.058920616385698184,0.13240984977788173,carried_interest,0.0046162752859056685,0.12215787537565459,-3.5494659586108654e-6
Income,2030,Quintile 2,25535,0.058920616385698184,0.13240984977788173,qsbs,0.03979946970065723,1.053190799637545,-3.0601914774138567e-5
Income,2030,Quintile 2,25535,0.058920616385698184,0.13240984977788173,oz,0.029325925042589542,0.7760353260487173,-2.2548779307259998e-5
Income,2030,Quintile 2,25535,0.058920616385698184,0.13240984977788173,all_excises,16.307995695125182,431.5492431385562,-0.012539259898505588
Income,2030,Quintile 2,25535,0.058920616385698184,0.13240984977788173,all_income_tax,0.07374167002915244,1.9513840010619168,-5.670016004000943e-5
Income,2030,Quintile 2,25535,0.058920616385698184,0.13240984977788173,all_measures,16.381737365154333,433.50062713961813,-0.012595960058545597
Income,2030,Quintile 3,50755,0.10664750261547114,0.15871615222728497,carbon,16.04483785788427,424.5638679165194,-0.007426497559260425
Income,2030,Quintile 3,50755,0.10664750261547114,0.15871615222728497,gambling,1.3965027982233158,36.95298355904458,-6.463838846093133e-4
Income,2030,Quintile 3,50755,0.10664750261547114,0.15871615222728497,guns,0.12444566711843323,3.292967759801386,-5.760079667376878e-5
Income,2030,Quintile 3,50755,0.10664750261547114,0.15871615222728497,alcohol,2.988582511518351,79.0811450957979,-0.001383292303981319
Income,2030,Quintile 3,50755,0.10664750261547114,0.15871615222728497,tobacco,0.07332205300541376,1.9401813033755035,-3.3937771918155864e-5
Income,2030,Quintile 3,50755,0.10664750261547114,0.15871615222728497,carried_interest,0.02628454249767956,0.6955175943861169,-1.2166036979262698e-5
Income,2030,Quintile 3,50755,0.10664750261547114,0.15871615222728497,qsbs,0.11882465455595542,3.144229651241427,-5.499906043650909e-5
Income,2030,Quintile 3,50755,0.10664750261547114,0.15871615222728497,oz,0.08755500862017769,2.316800795651578,-4.052562347953302e-5
Income,2030,Quintile 3,50755,0.10664750261547114,0.15871615222728497,all_excises,20.627690887749786,545.8311456345388,-0.009547712316442983
Income,2030,Quintile 3,50755,0.10664750261547114,0.15871615222728497,all_income_tax,0.23266420567381269,6.156548041279122,-1.076907208953048e-4
Income,2030,Quintile 3,50755,0.10664750261547114,0.15871615222728497,all_measures,20.860355093423596,551.9876936758179,-0.009655403037338287
Income,2030,Quintile 4,86890,0.18842625156804696,0.21882498695178343,carbon,22.174236841163214,586.7873428869725,-0.006047920408858247
Income,2030,Quintile 4,86890,0.18842625156804696,0.21882498695178343,gambling,2.3592752021170242,62.432490322257756,-6.434813855017979e-4
Income,2030,Quintile 4,86890,0.18842625156804696,0.21882498695178343,guns,0.1680940895855768,4.448201978244547,-4.584688448559597e-5
Income,2030,Quintile 4,86890,0.18842625156804696,0.21882498695178343,alcohol,4.749219555261917,125.67656526720857,-0.0012953276399166706
Income,2030,Quintile 4,86890,0.18842625156804696,0.21882498695178343,tobacco,0.06805133162207319,1.800813274814007,-1.8560685552122342e-5
Income,2030,Quintile 4,86890,0.18842625156804696,0.21882498695178343,carried_interest,0.04704725520877264,1.2449913867084312,-1.2831920980914907e-5
Income,2030,Quintile 4,86890,0.18842625156804696,0.21882498695178343,qsbs,0.28813945434306393,7.624911107696062,-7.858870178944475e-5
Income,2030,Quintile 4,86890,0.18842625156804696,0.21882498695178343,oz,0.21231328214752082,5.618355553039203,-5.790746447643298e-5
Income,2030,Quintile 4,86890,0.18842625156804696,0.21882498695178343,all_excises,29.518877019749805,781.1454137294974,-0.008051137004314434
Income,2030,Quintile 4,86890,0.18842625156804696,0.21882498695178343,all_income_tax,0.5474999916993574,14.488258047443697,-1.4932808724679264e-4
Income,2030,Quintile 4,86890,0.18842625156804696,0.21882498695178343,all_measures,30.066377011449163,795.6336717769411,-0.008200465091561226
Income,2030,Quintile 5,160155,0.6496751080419269,0.37872841699224014,carbon,38.591811101541865,1021.1881152363171,-0.0032685676350648328
