"group","baseline","tcja_ext","obbba","tcja_change","obbba_change"
"Overall",0.358281580532083,0.383690296112384,0.271236998306115,0.0254087155803002,-0.112453297806268
"Quintile 1",0.696125948806707,0.698477013099503,0.569251509094816,0.00235106429279541,-0.129225504004687
"Quintile 2",0.514815260962127,0.534409336717771,0.358353047915058,0.0195940757556435,-0.176056288802713
"Quintile 3",0.381882263721598,0.420203305860419,0.260592836552019,0.0383210421388209,-0.1596104693084
"Quintile 4",0.191689157923515,0.231648732055765,0.148101146844864,0.0399595741322507,-0.0835475852109012
"Quintile 5",0.0285920636167463,0.0570585888120206,0.0361623666853815,0.0284665251952743,-0.0208962221266391
"Top 10%",0.00794126908418331,0.0242933442682575,0.0150537997139642,0.0163520751840742,-0.00923954455429329
"Top 5%",0.00230287764626818,0.00999485065118602,0.00582650900225438,0.00769197300491784,-0.00416834164893164
"Top 1%",0.000298618599166571,0.00155004407757341,0.00175771473822695,0.00125142547840684,0.00020767066065354
"Top 0.1%",0.000237067829716805,0.000898347711261147,0.00106519437408951,0.000661279881544342,0.000166846662828363
