"group","baseline","obbba","tcja_ext"
"Quintile 1",0.0473901546852426,0.0457876905409395,0.0470292824847618
"Quintile 2",0.0482406201077454,0.0455377694780405,0.0451386906953277
"Quintile 3",0.0294855668418797,0.0273525226269274,0.0231841697125545
"Quintile 4",0.0271038341650821,0.0210695890646361,0.0156903798476571
"Quintile 5",0.042268459776218,0.0364406463169188,0.0330945323696588
"Overall",0.0388978271637962,0.0352377048690532,0.0328274570771749
