ID,tax_law,behavior,years,dist_years,mtr_vars,mtr_types,dep.Value-Added-Tax-Model.vintage,dep.Value-Added-Tax-Model.ID
baseline,baseline,,2024:2054,2024 2025 2054,char_cash kg_lt part_active,nextdollar nextdollar nextdollar,2024050121,baseline
06-amt,public/gale/00_shared/06_amt,kg/62 charity/50 entity_shifting/pearce_prisinzano,2024:2054,2024 2025 2054,char_cash kg_lt part_active,nextdollar nextdollar nextdollar,2024050121,baseline
ubi-09-ubi,public/gale/04_ubi/09_ubi,kg/62 charity/50 entity_shifting/pearce_prisinzano,2024:2054,2024 2025 2054,char_cash kg_lt part_active,nextdollar nextdollar nextdollar,2024050121,baseline
ubi-10-wagesub,public/gale/04_ubi/10_wagesub,kg/62 charity/50 entity_shifting/pearce_prisinzano,2024:2054,2024 2025 2054,char_cash kg_lt part_active,nextdollar nextdollar nextdollar,2024050121,baseline
ubi-vat,public/gale/04_ubi/10_wagesub,kg/62 charity/50 entity_shifting/pearce_prisinzano,2024:2054,2024 2025 2054,char_cash kg_lt part_active,nextdollar nextdollar nextdollar,2024050121,gale
